source_build,target_build,opcode,direction,field_key,kind,n,min,max,mean,values
12,2486,0x0001,IN,/Block Initializing Vector (IV):Field,blob,31,4,4,4.000,-
12,2486,0x0001,IN,/Local Initializing Vector (IV):Field,blob,31,4,4,4.000,-
12,2486,0x0001,IN,/MapleStory# Version:Field,blob,31,4,4,4.000,-
12,2486,0x0001,IN,/Opcode:Int16,num,31,1,1,1.000,1:31
12,2486,0x0001,IN,/Packet Length:Field,blob,31,4,4,4.000,-
12,2486,0x0001,IN,/Patch Type:Byte,num,31,2,2,2.000,2:31
12,2486,0x0001,IN,/Raw Sequence:Int16,num,31,-32615,31624,-2716.774,-10483:1|-1122:1|-13352:1|-14461:1|-14885:1|-15433:1|-16000:1|-17474:1|-19368:1|-21756:1|-22948:1|-2739:1|-31687:1|-32615:1|-4528:1|-5044:1|-5190:1|-5873:1|-7836:1|10693:1|15452:1|19286:1|19807:1|25923:1|27856:1|31624:1|553:1|577:1|8089:1|8731:1|9983:1
12,2486,0x0001,IN,/Remote Initializing Vector (IV):Field,blob,31,4,4,4.000,-
12,2486,0x0001,OUT,/Locale?:Int16,num,31,0,0,0.000,0:31
12,2486,0x0001,OUT,/Unknown:Int16,num,31,69,69,69.000,69:31
12,2486,0x0001,OUT,/Version:Int32,num,31,2486,2486,2486.000,2486:31
12,2486,0x0004,OUT,/AccountId:Int64,num,31,2.6004366573425377E+18,2.600855668367297E+18,2600784485049895424.000,2600852081586107936:16|2600848888465217910:8|2600436657342537980:5|2600855668367297215:2
12,2486,0x0004,OUT,/MachineId:Field,blob,31,16,16,16.000,-
12,2486,0x0004,OUT,/TokenA:Int32,num,31,12338028,715789008,274429102.613,12338028:1|124013624:1|127434684:1|143642895:1|153592008:1|15653880:1|178114510:1|178642751:1|198657597:1|20726706:1|222003920:1|231556304:1|24404360:1|249360080:1|251559048:1|286207100:1|292532856:1|306300735:1|306395982:1|36323264:1|371530368:1|429380496:1|472061072:1|475989786:1|537265774:1|55962453:1|644293626:1|675839556:1|678451410:1|715789008:1|91278300:1
12,2486,0x0004,OUT,/TokenB:Int32,num,31,193750,750356404,209608108.290,103275456:1|170951456:1|17902464:1|18135261:1|189865104:1|193750:1|200408244:1|211970005:1|227463292:1|254400500:1|28365975:1|29499066:1|32306376:1|32585490:1|334151072:1|334933544:1|335467998:1|34600720:1|37310728:1|379063200:1|427397854:1|47428458:1|481522858:1|486219684:1|53972800:1|544774545:1|577683503:1|62134219:1|750356404:1|8220905:1|85290426:1
12,2486,0x0005,IN,/Key:Int32,num,85,366,1930178,338062.659,270450:19|5784:9|365402:8|946065:5|204963:4|135862:2|135875:2|309395:2|309895:2|345164:2|7702:2|780:2|954575:2|10203:1|1231:1|15637:1|18794:1|1929757:1|1930178:1|25709:1|26929:1|279568:1|3064:1|366:1|377067:1|47307:1|47728:1|515080:1|5743:1|581211:1|611751:1|614410:1|626579:1|635908:1|680192:1|749035:1|939384:1
12,2486,0x0005,IN,/Unknown:Int32,num,85,1,2,1.082,1:78|2:7
12,2486,0x0005,IN,/function:Byte,num,85,0,0,0.000,0:85
12,2486,0x0005,IN,SomeKey/SomeKey:Field,blob,85,34,36,35.518,-
12,2486,0x0005,IN,SomeKey/size:Int16,num,85,34,36,35.518,36:49|35:31|34:5
12,2486,0x0006,IN,/unknown:Int32,num,1131,6,59044,5312.007,~other:1054|30:4|1193:2|1452:2|159:2|2205:2|2803:2|3075:2|3195:2|3238:2|3325:2|46:2|1012:1|1249:1|1534:1|1753:1|1778:1|1796:1|1871:1|1939:1|2172:1|2493:1|2525:1|263:1|2764:1|2776:1|2788:1|3167:1|3182:1|3209:1|3226:1|3250:1|3261:1|3274:1|3286:1|3301:1|3313:1|3395:1|3406:1|3418:1|3449:1|3480:1|3492:1|3505:1|3518:1|3534:1|3669:1|4007:1|4184:1|4268:1|4376:1|4426:1|4452:1|4471:1|4489:1|503:1|562:1|61:1|649:1|675:1|689:1|748:1|783:1|895:1|945:1
2486,2486,0x0006,IN,/ping:Int32,num,1131,6,59044,5312.007,~other:1054|30:4|1193:2|1452:2|159:2|2205:2|2803:2|3075:2|3195:2|3238:2|3325:2|46:2|1012:1|1249:1|1534:1|1753:1|1778:1|1796:1|1871:1|1939:1|2172:1|2493:1|2525:1|263:1|2764:1|2776:1|2788:1|3167:1|3182:1|3209:1|3226:1|3250:1|3261:1|3274:1|3286:1|3301:1|3313:1|3395:1|3406:1|3418:1|3449:1|3480:1|3492:1|3505:1|3518:1|3534:1|3669:1|4007:1|4184:1|4268:1|4376:1|4426:1|4452:1|4471:1|4489:1|503:1|562:1|61:1|649:1|675:1|689:1|748:1|783:1|895:1|945:1
2486,2486,0x0006,OUT,/ping:Int32,num,1130,123,67020,15083.438,~other:1061|1394:2|1407:2|1459:2|1483:2|1724:2|1006:1|1022:1|1037:1|1050:1|1063:1|1083:1|1102:1|1230:1|1288:1|1312:1|1323:1|1339:1|1355:1|1373:1|1421:1|1436:1|1447:1|1470:1|1494:1|1508:1|1518:1|1529:1|1602:1|1613:1|1625:1|1655:1|1688:1|1699:1|1712:1|2241:1|2780:1|2797:1|2813:1|2842:1|2856:1|2873:1|2892:1|2911:1|2931:1|358:1|384:1|398:1|418:1|436:1|453:1|475:1|492:1|510:1|525:1|550:1|567:1|582:1|605:1|651:1|710:1|799:1|873:1|894:1|917:1
12,2486,0x000B,OUT,/Sequence:Int32,num,1500,2,24085,2081.951,~other:1421|446:3|1329:2|159:2|220:2|224:2|380:2|40:2|565:2|608:2|627:2|664:2|71:2|856:2|910:2|1101:1|1118:1|1182:1|1371:1|14284:1|1647:1|1670:1|1679:1|1680:1|169:1|191:1|2146:1|2383:1|240:1|2798:1|303:1|3192:1|3196:1|3197:1|3202:1|3203:1|3206:1|3214:1|3215:1|3218:1|3221:1|3222:1|3224:1|3227:1|3233:1|3236:1|3239:1|3243:1|3246:1|3247:1|3248:1|366:1|424:1|461:1|484:1|491:1|519:1|529:1|5303:1|547:1|647:1|755:1|792:1|884:1|891:1
12,2486,0x000C,OUT,/ClientTicks:Int32,num,37,50928,19375830,1986208.676,1049880:1|1064155:1|1281192:1|1296347:1|1390464:1|1427572:1|158172:1|1742070:1|1758542:1|178074:1|1877931:1|19375830:1|2127206:1|2769531:1|279241:1|2850181:1|291424:1|303370:1|3242188:1|3321269:1|3389182:1|351660:1|366940:1|3689204:1|388708:1|3989761:1|4055160:1|4390848:1|464068:1|477136:1|50928:1|633193:1|65948:1|764107:1|792124:1|848632:1|987483:1
12,2486,0x000C,OUT,/ServerTicks:Int32,num,37,-2012007539,1816895323,422837855.514,-1418981883:1|-1435874117:1|-1513578028:1|-1558127263:1|-1595093352:1|-1623885726:1|-1624254384:1|-1625774880:1|-1636060482:1|-1636115657:1|-1636427849:1|-2012007539:1|1136787824:1|1138588139:1|1505254166:1|1505282560:1|1505435952:1|1508191962:1|1508491981:1|1508792500:1|1508864703:1|1552292785:1|1796239647:1|1796539937:1|1796839981:1|1799006616:1|1815418762:1|1815444422:1|1815518847:1|1816895323:1|772615760:1|781956445:1|845499422:1|845800560:1|961427725:1|961993340:1|962002455:1
12,2486,0x000D,IN,/message:Byte,num,31,0,0,0.000,0:31
12,2486,0x0010,IN,/IpAddress:Int32,num,7,193750,527305728,207627152.714,193750:1|200408244:1|227463292:1|427397854:1|527305728:1|62400296:1|8220905:1
