source_build,target_build,opcode,direction,field_key,kind,n,min,max,mean,values
12,2524,0x0001,IN,/Block Initializing Vector (IV):Field,blob,8,4,4,4.000,-
12,2524,0x0001,IN,/Local Initializing Vector (IV):Field,blob,8,4,4,4.000,-
12,2524,0x0001,IN,/MapleStory# Version:Field,blob,8,4,4,4.000,-
12,2524,0x0001,IN,/Opcode:Int16,num,8,1,1,1.000,1:8
12,2524,0x0001,IN,/Packet Length:Field,blob,8,4,4,4.000,-
12,2524,0x0001,IN,/Patch Type:Byte,num,8,2,2,2.000,2:8
12,2524,0x0001,IN,/Raw Sequence:Int16,num,8,-31606,24045,1542.125,-16814:1|-31606:1|-5924:1|23392:1|24045:1|4323:1|5079:1|9842:1
12,2524,0x0001,IN,/Remote Initializing Vector (IV):Field,blob,8,4,4,4.000,-
12,2524,0x0001,OUT,/Locale?:Int16,num,8,0,0,0.000,0:8
12,2524,0x0001,OUT,/Unknown:Int16,num,8,77,77,77.000,77:8
12,2524,0x0001,OUT,/Version:Int32,num,8,2524,2524,2524.000,2524:8
12,2524,0x0004,OUT,/AccountId:Int64,num,8,2.600852081586108E+18,2.6008586829223726E+18,2600854840445670400.000,2600852081586107936:4|2600857238099519690:3|2600858682922372473:1
12,2524,0x0004,OUT,/MachineId:Field,blob,8,16,16,16.000,-
12,2524,0x0004,OUT,/TokenA:Int32,num,8,38146892,826957278,402620813.375,244567800:1|287386020:1|342676229:1|343883735:1|38146892:1|452370136:1|684978417:1|826957278:1
12,2524,0x0004,OUT,/TokenB:Int32,num,8,9999822,508489600,213213864.750,226589748:1|339146634:1|440904843:1|46493419:1|508489600:1|54686060:1|79400792:1|9999822:1
12,2524,0x0005,IN,/Key:Int32,num,11,138298,1660313,771116.727,138298:2|1657489:2|389107:2|1644117:1|1660313:1|218668:1|229092:1|360306:1
12,2524,0x0005,IN,/Unknown:Int32,num,11,1,2,1.182,1:9|2:2
12,2524,0x0005,IN,/function:Byte,num,11,0,0,0.000,0:11
12,2524,0x0005,IN,SomeKey/SomeKey:Field,blob,11,34,36,35.000,-
12,2524,0x0005,IN,SomeKey/size:Int16,num,11,34,36,35.000,35:7|34:2|36:2
12,2524,0x0006,IN,/unknown:Int32,num,69,6,991,411.507,6:3|159:2|21:2|103:1|118:1|123:1|127:1|131:1|143:1|150:1|173:1|186:1|19:1|20:1|206:1|216:1|225:1|23:1|235:1|244:1|25:1|253:1|262:1|32:1|33:1|392:1|47:1|52:1|563:1|576:1|58:1|590:1|603:1|617:1|630:1|647:1|660:1|674:1|688:1|69:1|7:1|702:1|717:1|734:1|747:1|761:1|775:1|790:1|804:1|818:1|835:1|849:1|86:1|863:1|877:1|891:1|9:1|908:1|923:1|937:1|950:1|964:1|977:1|991:1|~other:1
2486,2524,0x0006,IN,/ping:Int32,num,69,6,991,411.507,6:3|159:2|21:2|103:1|118:1|123:1|127:1|131:1|143:1|150:1|173:1|186:1|19:1|20:1|206:1|216:1|225:1|23:1|235:1|244:1|25:1|253:1|262:1|32:1|33:1|392:1|47:1|52:1|563:1|576:1|58:1|590:1|603:1|617:1|630:1|647:1|660:1|674:1|688:1|69:1|7:1|702:1|717:1|734:1|747:1|761:1|775:1|790:1|804:1|818:1|835:1|849:1|86:1|863:1|877:1|891:1|9:1|908:1|923:1|937:1|950:1|964:1|977:1|991:1|~other:1
