source_build,target_build,opcode,direction,seen,executed,ran,no_script,ok_exact,under_read,over_read,threw,compile_error,negative_length,consumed_p50,consumed_p90,script_sha,env_sha,consumed_hist,sampling,over_sigs
12,2529,0x0001,IN,22,22,22,0,22,0,0,0,0,0,100,100,7f8c78029510,d7b7fc65329f,100:22,reservoir;n=1500;seed=1,-
12,2529,0x0001,OUT,22,22,22,0,22,0,0,0,0,0,100,100,c024851cf5a7,d7b7fc65329f,100:22,reservoir;n=1500;seed=1,-
12,2529,0x0004,IN,21,21,21,0,21,0,0,0,0,0,100,100,8ceb5dea67ee,d7b7fc65329f,100:21,reservoir;n=1500;seed=1,-
12,2529,0x0004,OUT,22,22,22,0,22,0,0,0,0,0,100,100,6f95cf27934c,d7b7fc65329f,100:22,reservoir;n=1500;seed=1,-
12,2529,0x0005,IN,44,44,44,0,44,0,0,0,0,0,100,100,904ae535cf82,d7b7fc65329f,100:44,reservoir;n=1500;seed=1,-
12,2529,0x0006,IN,390,390,390,0,390,0,0,0,0,0,100,100,1259343bcd4e,d7b7fc65329f,100:390,reservoir;n=1500;seed=1,-
2486,2529,0x0006,IN,390,390,390,0,390,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:390,reservoir;n=1500;seed=1,-
2486,2529,0x0006,OUT,389,389,389,0,389,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:389,reservoir;n=1500;seed=1,-
12,2529,0x0009,IN,1,1,1,0,1,0,0,0,0,0,100,100,fb4c28958104,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2529,0x0009,OUT,2,2,2,0,1,0,1,0,0,0,14,100,e447374332aa,d7b7fc65329f,14:1|100:1,reservoir;n=1500;seed=1,PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [EquipSlot:Field]:1
2525,2529,0x0009,OUT,2,2,2,0,1,0,1,0,0,0,14,100,e447374332aa,e531069fb1f2,14:1|100:1,reservoir;n=1500;seed=1,PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [EquipSlot:Field]:1
12,2529,0x000A,OUT,2,2,2,0,2,0,0,0,0,0,100,100,8e71d76b9fe2,d7b7fc65329f,100:2,reservoir;n=1500;seed=1,-
12,2529,0x000B,IN,1,1,1,0,0,0,1,0,0,0,2,2,c790c8470c75,d7b7fc65329f,2:1,reservoir;n=1500;seed=1,PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Server Name:Field]:1
2507,2529,0x000B,IN,1,1,1,0,0,1,0,0,0,0,76,76,68680f9e6dd6,e531069fb1f2,76:1,reservoir;n=1500;seed=1,-
12,2529,0x000B,OUT,1501,1500,1500,0,1500,0,0,0,0,0,100,100,0bfa8a381791,d7b7fc65329f,100:1500,reservoir;n=1500;seed=1,-
12,2529,0x000C,IN,4,4,4,0,2,0,2,0,0,0,100,100,f0091abaa206,d7b7fc65329f,18:1|100:3,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Player+#B#:Int64]:1|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [same char profile url:Field]:1
2507,2529,0x000C,IN,4,4,4,0,4,0,0,0,0,0,100,100,d9c10b8487c2,e531069fb1f2,100:4,reservoir;n=1500;seed=1,-
2525,2529,0x000C,IN,4,4,4,0,4,0,0,0,0,0,100,100,d9c10b8487c2,e531069fb1f2,100:4,reservoir;n=1500;seed=1,-
12,2529,0x000C,OUT,21,21,21,0,21,0,0,0,0,0,100,100,03af1cb1cb9c,d7b7fc65329f,100:21,reservoir;n=1500;seed=1,-
12,2529,0x000D,IN,22,22,22,0,22,0,0,0,0,0,100,100,b3dc9594248c,d7b7fc65329f,100:22,reservoir;n=1500;seed=1,-
12,2529,0x000E,IN,1,1,1,0,1,0,0,0,0,0,100,100,aa3b7054d65f,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
-,2529,0x000E,OUT,21,21,0,21,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
-,2529,0x000F,OUT,22,22,0,22,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2529,0x0010,IN,17,17,17,0,17,0,0,0,0,0,100,100,aa9463bb9345,d7b7fc65329f,100:17,reservoir;n=1500;seed=1,-
-,2529,0x0010,OUT,22,22,0,22,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2529,0x0011,IN,3016,1500,1500,0,779,721,0,0,0,0,100,100,ea7aa50be9ac,d7b7fc65329f,6:721|100:779,reservoir;n=1500;seed=1,-
-,2529,0x0011,OUT,3,3,0,3,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2529,0x0012,IN,2,2,2,0,2,0,0,0,0,0,100,100,90fbad88d3b4,d7b7fc65329f,100:2,reservoir;n=1500;seed=1,-
12,2529,0x0012,OUT,13195,1500,1500,0,1,0,1499,0,0,150,95,100,00eac5549f4f,d7b7fc65329f,49:1|54:3|57:2|62:4|65:3|74:4|78:12|85:96|87:15|91:12|93:2|95:779|96:52|100:515,reservoir;n=1500;seed=1,PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [X:Single]:389|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [Z:Single]:335|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Int32]:195|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [UnknownStr:Field]:157|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [AnimationString?:Field]:133|NegativeLength: ReadBytes: negative length -# at offset #/# @  [UnknownStr:Field]:91|NegativeLength: ReadBytes: negative length -# at offset #/# @  [AnimationString?:Field]:59|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [Y:Single]:47|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [size:Int16]:42|PastEnd: Read<Byte>: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Byte]:28|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ServerTick:Int32]:17|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ClientTicks:Int32]:5|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [CoordS / #:Int16]:1
12,2529,0x0013,IN,21,21,21,0,21,0,0,0,0,0,100,100,ec8c9b43cd49,d7b7fc65329f,100:21,reservoir;n=1500;seed=1,-
12,2529,0x0014,IN,104,104,104,0,104,0,0,0,0,0,100,100,707e661c62cd,d7b7fc65329f,100:104,reservoir;n=1500;seed=1,-
12,2529,0x0015,IN,21,21,21,0,0,0,21,0,0,6,99,100,3bbd77e4fb7a,d7b7fc65329f,63:2|64:1|65:2|66:1|68:2|69:2|99:4|100:7,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [MapId:Int32]:11|NegativeLength: ReadBytes: negative length -# at offset #/# @  [String:Field]:6|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [String:Field]:4
2507,2529,0x0015,IN,21,21,21,0,21,0,0,0,0,0,100,100,afce9e0e791b,e531069fb1f2,100:21,reservoir;n=1500;seed=1,-
12,2529,0x0016,IN,22,22,22,0,22,0,0,0,0,0,100,100,bd0753bb66c6,d7b7fc65329f,100:22,reservoir;n=1500;seed=1,-
2546,2529,0x0016,IN,22,22,22,0,22,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:22,reservoir;n=1500;seed=1,-
2549,2529,0x0016,IN,22,22,22,0,22,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:22,reservoir;n=1500;seed=1,-
2550,2529,0x0016,IN,22,22,22,0,22,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:22,reservoir;n=1500;seed=1,-
-,2529,0x0016,OUT,6,6,0,6,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2529,0x0017,IN,23,23,23,0,0,0,23,0,0,0,100,100,1d52865cb228,d7b7fc65329f,92:1|100:22,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Player+#B#:Int64]:21|PastEnd: Read<Boolean>: wanted # byte(s) at offset #; only # of # remain @ Skills [Unknown (#):Boolean]:1|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [ItemName:Field]:1
2500,2529,0x0017,IN,23,23,23,0,0,23,0,0,0,0,0,0,5f2e5359199a,e531069fb1f2,0:23,reservoir;n=1500;seed=1,-
2503,2529,0x0017,IN,23,23,23,0,0,6,17,0,0,0,100,100,e6752d96b9a6,e531069fb1f2,9:1|15:1|63:4|100:17,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [id:Int32]:10|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [level:Int32]:5|PastEnd: Read<Boolean>: wanted # byte(s) at offset #; only # of # remain @  [leaned:Boolean]:1|PastEnd: Read<Byte>: wanted # byte(s) at offset #; only # of # remain @  [:Byte]:1
2528,2529,0x0017,IN,23,23,23,0,0,0,23,0,0,2,100,100,a3115547491e,c7184ede6835,11:1|20:1|100:21,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Player+#B#:Int64]:21|NegativeLength: ReadBytes: negative length -# at offset #/# @  [UUID:Field]:2
2550,2529,0x0017,IN,23,23,23,0,0,0,23,0,0,0,100,100,a3115547491e,750b3e3c91cc,92:1|100:22,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Player+#B#:Int64]:21|PastEnd: Read<Boolean>: wanted # byte(s) at offset #; only # of # remain @ Skills [Unknown (#):Boolean]:1|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [ItemName:Field]:1
12,2529,0x0019,IN,46,46,46,0,46,0,0,0,0,0,100,100,81ad6936565e,d7b7fc65329f,100:46,reservoir;n=1500;seed=1,-
2500,2529,0x0019,IN,46,46,46,0,46,0,0,0,0,0,100,100,2eb6d169688e,e531069fb1f2,100:46,reservoir;n=1500;seed=1,-
12,2529,0x001A,IN,42,42,42,0,21,2,19,0,0,0,100,100,30430a5d3899,d7b7fc65329f,3:1|36:1|100:40,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [arg:Int32]:19
12,2529,0x001C,IN,24,24,24,0,0,0,24,0,0,0,100,100,0357b5c4fd5f,d7b7fc65329f,100:24,reservoir;n=1500;seed=1,PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [Y:Single]:24
2507,2529,0x001C,IN,24,24,24,0,0,0,24,0,0,0,100,100,c7b0101dd29c,e531069fb1f2,100:24,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [speed x:Int16]:24
-,2529,0x001C,OUT,5,5,0,5,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2529,0x001D,IN,33,33,33,0,33,0,0,0,0,0,100,100,73b8429f6c4a,d7b7fc65329f,100:33,reservoir;n=1500;seed=1,-
12,2529,0x001E,IN,29,29,29,0,0,0,29,0,0,0,100,100,3bbddaf0bb87,d7b7fc65329f,100:29,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [EnchantCharges:Int32]:28|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [FloatValue:Single]:1
12,2529,0x001F,IN,22,22,22,0,2,20,0,0,0,0,62,62,e9ab09106d52,d7b7fc65329f,62:20|100:2,reservoir;n=1500;seed=1,-
12,2529,0x0020,OUT,373,373,373,0,348,3,22,0,0,0,100,100,6d8b0777422d,d7b7fc65329f,90:1|98:24|100:348,reservoir;n=1500;seed=1,PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Field]:22
2507,2529,0x0020,OUT,373,373,373,0,142,231,0,0,0,0,89,100,9259122a6ee0,e531069fb1f2,2:6|3:110|11:13|89:102|100:142,reservoir;n=1500;seed=1,-
2512,2529,0x0020,OUT,373,373,373,0,348,3,22,0,0,0,100,100,6d8b0777422d,6cdba8ccbaff,90:1|98:24|100:348,reservoir;n=1500;seed=1,PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Field]:22
12,2529,0x0021,IN,765,765,765,0,11,742,12,0,0,0,17,20,4a34cc581cd5,d7b7fc65329f,0:102|17:315|20:325|98:1|99:4|100:18,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [IntegerValue:Int32]:3|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [StatType:Int16]:3|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [slot:Int16]:2|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [FloatValue:Single]:2|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Int32]:1|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Int64]:1
2511,2529,0x0021,IN,765,765,765,0,6,758,1,0,0,0,17,20,1b1236b38a15,e531069fb1f2,0:102|7:12|8:5|11:6|17:315|20:315|98:2|100:8,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [EmpowermentStatOptionCount:Int16]:1
2525,2529,0x0021,IN,765,765,765,0,10,755,0,0,0,0,17,20,cfbd884737a3,e531069fb1f2,0:102|7:12|8:5|11:6|17:315|20:315|100:10,reservoir;n=1500;seed=1,-
2529,2529,0x0021,IN,765,765,765,0,10,755,0,0,0,0,17,20,cfbd884737a3,e531069fb1f2,0:102|7:12|8:5|11:6|17:315|20:315|100:10,reservoir;n=1500;seed=1,-
2546,2529,0x0021,IN,765,765,765,0,10,755,0,0,0,0,17,20,cfbd884737a3,750b3e3c91cc,0:102|7:12|8:5|11:6|17:315|20:315|100:10,reservoir;n=1500;seed=1,-
2549,2529,0x0021,IN,765,765,765,0,10,755,0,0,0,0,17,20,cfbd884737a3,750b3e3c91cc,0:102|7:12|8:5|11:6|17:315|20:315|100:10,reservoir;n=1500;seed=1,-
2550,2529,0x0021,IN,765,765,765,0,10,755,0,0,0,0,17,20,cfbd884737a3,750b3e3c91cc,0:102|7:12|8:5|11:6|17:315|20:315|100:10,reservoir;n=1500;seed=1,-
12,2529,0x0021,OUT,3,3,3,0,3,0,0,0,0,0,100,100,09b896927b5b,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,-
12,2529,0x0022,OUT,326,326,326,0,326,0,0,0,0,0,100,100,a422af65b674,d7b7fc65329f,100:326,reservoir;n=1500;seed=1,-
12,2529,0x0023,IN,439,439,439,0,63,0,376,0,0,0,100,100,c5e823fa4439,d7b7fc65329f,100:439,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [EnchantCharges:Int32]:376
2486,2529,0x0023,IN,439,439,439,0,42,397,0,0,0,0,17,20,ebb2ab2949d5,e531069fb1f2,17:376|20:21|100:42,reservoir;n=1500;seed=1,-
2502,2529,0x0023,IN,439,439,439,0,42,397,0,0,0,0,11,20,89c9b48525c2,e531069fb1f2,11:376|20:21|100:42,reservoir;n=1500;seed=1,-
12,2529,0x0024,IN,3956,1500,1500,0,1500,0,0,0,0,0,100,100,6954142e10b2,d7b7fc65329f,100:1500,reservoir;n=1500;seed=1,-
2502,2529,0x0024,IN,3956,1500,1500,0,1500,0,0,0,0,0,100,100,a88fbaa9b811,e531069fb1f2,100:1500,reservoir;n=1500;seed=1,-
2507,2529,0x0024,IN,3956,1500,1500,0,1500,0,0,0,0,0,100,100,a88fbaa9b811,e531069fb1f2,100:1500,reservoir;n=1500;seed=1,-
12,2529,0x0025,IN,5,5,5,0,0,0,5,0,0,0,7,9,2d2f793349e2,d7b7fc65329f,7:4|9:1,reservoir;n=1500;seed=1,PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [EquipSlot:Field]:5
12,2529,0x0026,IN,2,2,2,0,2,0,0,0,0,0,100,100,f23617894301,d7b7fc65329f,100:2,reservoir;n=1500;seed=1,-
12,2529,0x0026,OUT,3,3,3,0,3,0,0,0,0,0,100,100,a1157fbdd8b0,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,-
12,2529,0x0029,OUT,37,37,37,0,37,0,0,0,0,0,100,100,abd8135d5662,d7b7fc65329f,100:37,reservoir;n=1500;seed=1,-
12,2529,0x002B,IN,5,5,5,0,0,0,5,0,0,0,99,99,edb1f3c0db05,d7b7fc65329f,99:5,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [IntegerValue:Int32]:5
2530,2529,0x002B,IN,5,5,5,0,0,0,5,0,0,0,100,100,3c9bd7749e3a,6fcac0922e9d,100:5,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [EnchantCharges:Int32]:5
2531,2529,0x002B,IN,5,5,5,0,0,0,5,0,0,0,100,100,3c9bd7749e3a,6fcac0922e9d,100:5,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [EnchantCharges:Int32]:5
12,2529,0x002C,IN,5,5,5,0,5,0,0,0,0,0,100,100,36248f6b1c12,d7b7fc65329f,100:5,reservoir;n=1500;seed=1,-
12,2529,0x002D,IN,5,5,5,0,5,0,0,0,0,0,100,100,edf07db7f802,d7b7fc65329f,100:5,reservoir;n=1500;seed=1,-
12,2529,0x002E,IN,6583,1500,1500,0,0,1500,0,0,0,0,26,26,eaec41421ddf,d7b7fc65329f,2:50|18:1|19:198|26:1207|42:44,reservoir;n=1500;seed=1,-
2521,2529,0x002E,IN,6583,1500,1500,0,50,1252,198,0,0,0,19,100,7b2a027d574a,e531069fb1f2,14:1|19:1207|32:44|100:248,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [# bonus:Int32]:198
2528,2529,0x002E,IN,6583,1500,1500,0,1500,0,0,0,0,0,100,100,76f3b6c66124,c7184ede6835,100:1500,reservoir;n=1500;seed=1,-
12,2529,0x002F,IN,27,27,27,0,0,0,27,0,0,0,100,100,76f3b6c66124,d7b7fc65329f,100:27,reservoir;n=1500;seed=1,PastEnd: Read<Byte>: wanted # byte(s) at offset #; only # of # remain @  [count:Byte]:27
12,2529,0x002F,OUT,8,8,8,0,0,8,0,0,0,0,17,17,46125951e709,d7b7fc65329f,17:8,reservoir;n=1500;seed=1,-
12,2529,0x0030,OUT,1,1,1,0,1,0,0,0,0,0,100,100,3f14fe033fcc,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2529,0x0031,OUT,20,20,20,0,0,20,0,0,0,0,10,10,340b3e960960,d7b7fc65329f,10:20,reservoir;n=1500;seed=1,-
12,2529,0x0033,IN,28,28,28,0,0,28,0,0,0,0,33,33,22044483be09,d7b7fc65329f,33:28,reservoir;n=1500;seed=1,-
