source_build,target_build,opcode,direction,seen,executed,ran,no_script,ok_exact,under_read,over_read,threw,compile_error,negative_length,consumed_p50,consumed_p90,script_sha,env_sha,consumed_hist,sampling
12,2525,0x0001,IN,5,5,5,0,5,0,0,0,0,0,100,100,7f8c78029510,d7b7fc65329f,100:5,reservoir;n=1500;seed=1
12,2525,0x0001,OUT,5,5,5,0,5,0,0,0,0,0,100,100,c024851cf5a7,d7b7fc65329f,100:5,reservoir;n=1500;seed=1
12,2525,0x0003,OUT,1,1,1,0,1,0,0,0,0,0,100,100,3d3c87d1fc67,d7b7fc65329f,100:1,reservoir;n=1500;seed=1
12,2525,0x0004,IN,4,4,4,0,4,0,0,0,0,0,100,100,8ceb5dea67ee,d7b7fc65329f,100:4,reservoir;n=1500;seed=1
12,2525,0x0004,OUT,4,4,4,0,4,0,0,0,0,0,100,100,6f95cf27934c,d7b7fc65329f,100:4,reservoir;n=1500;seed=1
12,2525,0x0005,IN,3,3,3,0,3,0,0,0,0,0,100,100,904ae535cf82,d7b7fc65329f,100:3,reservoir;n=1500;seed=1
12,2525,0x0006,IN,19,19,19,0,19,0,0,0,0,0,100,100,1259343bcd4e,d7b7fc65329f,100:19,reservoir;n=1500;seed=1
2486,2525,0x0006,IN,19,19,19,0,19,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:19,reservoir;n=1500;seed=1
2486,2525,0x0006,OUT,19,19,19,0,19,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:19,reservoir;n=1500;seed=1
12,2525,0x0009,IN,1,1,1,0,1,0,0,0,0,0,100,100,fb4c28958104,d7b7fc65329f,100:1,reservoir;n=1500;seed=1
12,2525,0x0009,OUT,1,1,1,0,1,0,0,0,0,0,100,100,e447374332aa,d7b7fc65329f,100:1,reservoir;n=1500;seed=1
2525,2525,0x0009,OUT,1,1,1,0,1,0,0,0,0,0,100,100,e447374332aa,e531069fb1f2,100:1,reservoir;n=1500;seed=1
12,2525,0x000A,IN,1,1,1,0,1,0,0,0,0,0,100,100,24c7753b8f3d,d7b7fc65329f,100:1,reservoir;n=1500;seed=1
12,2525,0x000B,OUT,120,120,120,0,120,0,0,0,0,0,100,100,0bfa8a381791,d7b7fc65329f,100:120,reservoir;n=1500;seed=1
12,2525,0x000C,IN,3,3,3,0,2,0,1,0,0,0,100,100,f0091abaa206,d7b7fc65329f,19:1|100:2,reservoir;n=1500;seed=1
2507,2525,0x000C,IN,3,3,3,0,3,0,0,0,0,0,100,100,d9c10b8487c2,e531069fb1f2,100:3,reservoir;n=1500;seed=1
