source_build,target_build,opcode,direction,seen,executed,ran,no_script,ok_exact,under_read,over_read,threw,compile_error,negative_length,consumed_p50,consumed_p90,script_sha,env_sha,consumed_hist,sampling
12,2521,0x0001,IN,15,15,15,0,15,0,0,0,0,0,100,100,7f8c78029510,d7b7fc65329f,100:15,reservoir;n=1500;seed=1
12,2521,0x0001,OUT,15,15,15,0,15,0,0,0,0,0,100,100,c024851cf5a7,d7b7fc65329f,100:15,reservoir;n=1500;seed=1
12,2521,0x0002,IN,1,1,1,0,1,0,0,0,0,0,100,100,5e729bb74ae5,d7b7fc65329f,100:1,reservoir;n=1500;seed=1
12,2521,0x0003,OUT,2,2,2,0,0,0,2,0,0,0,100,100,3d3c87d1fc67,d7b7fc65329f,100:2,reservoir;n=1500;seed=1
12,2521,0x0004,IN,12,12,12,0,12,0,0,0,0,0,100,100,8ceb5dea67ee,d7b7fc65329f,100:12,reservoir;n=1500;seed=1
12,2521,0x0004,OUT,12,12,12,0,12,0,0,0,0,0,100,100,6f95cf27934c,d7b7fc65329f,100:12,reservoir;n=1500;seed=1
12,2521,0x0005,IN,22,22,22,0,22,0,0,0,0,0,100,100,904ae535cf82,d7b7fc65329f,100:22,reservoir;n=1500;seed=1
12,2521,0x0006,IN,169,169,169,0,169,0,0,0,0,0,100,100,1259343bcd4e,d7b7fc65329f,100:169,reservoir;n=1500;seed=1
2486,2521,0x0006,IN,169,169,169,0,169,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:169,reservoir;n=1500;seed=1
2486,2521,0x0006,OUT,169,169,169,0,169,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:169,reservoir;n=1500;seed=1
12,2521,0x0009,IN,2,2,2,0,2,0,0,0,0,0,100,100,fb4c28958104,d7b7fc65329f,100:2,reservoir;n=1500;seed=1
12,2521,0x0009,OUT,1,1,1,0,1,0,0,0,0,0,100,100,e447374332aa,d7b7fc65329f,100:1,reservoir;n=1500;seed=1
2525,2521,0x0009,OUT,1,1,1,0,1,0,0,0,0,0,100,100,e447374332aa,e531069fb1f2,100:1,reservoir;n=1500;seed=1
12,2521,0x000A,IN,1,1,1,0,1,0,0,0,0,0,100,100,24c7753b8f3d,d7b7fc65329f,100:1,reservoir;n=1500;seed=1
12,2521,0x000B,IN,1,1,1,0,0,0,1,0,0,0,2,2,c790c8470c75,d7b7fc65329f,2:1,reservoir;n=1500;seed=1
2507,2521,0x000B,IN,1,1,1,0,0,1,0,0,0,0,76,76,68680f9e6dd6,e531069fb1f2,76:1,reservoir;n=1500;seed=1
12,2521,0x000B,OUT,883,883,883,0,883,0,0,0,0,0,100,100,0bfa8a381791,d7b7fc65329f,100:883,reservoir;n=1500;seed=1
12,2521,0x000C,IN,8,8,8,0,2,0,6,0,0,0,100,100,f0091abaa206,d7b7fc65329f,100:8,reservoir;n=1500;seed=1
2507,2521,0x000C,IN,8,8,8,0,3,0,5,0,0,1,100,100,d9c10b8487c2,e531069fb1f2,17:1|100:7,reservoir;n=1500;seed=1
2525,2521,0x000C,IN,8,8,8,0,3,0,5,0,0,1,100,100,d9c10b8487c2,e531069fb1f2,17:1|100:7,reservoir;n=1500;seed=1
12,2521,0x000C,OUT,13,13,13,0,13,0,0,0,0,0,100,100,03af1cb1cb9c,d7b7fc65329f,100:13,reservoir;n=1500;seed=1
12,2521,0x000D,IN,12,12,12,0,12,0,0,0,0,0,100,100,b3dc9594248c,d7b7fc65329f,100:12,reservoir;n=1500;seed=1
-,2521,0x000D,OUT,1,1,0,1,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1
12,2521,0x000E,IN,1,1,1,0,1,0,0,0,0,0,100,100,aa3b7054d65f,d7b7fc65329f,100:1,reservoir;n=1500;seed=1
-,2521,0x000E,OUT,12,12,0,12,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1
-,2521,0x000F,OUT,14,14,0,14,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1
12,2521,0x0010,IN,3,3,3,0,3,0,0,0,0,0,100,100,aa9463bb9345,d7b7fc65329f,100:3,reservoir;n=1500;seed=1
-,2521,0x0010,OUT,14,14,0,14,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1
12,2521,0x0011,IN,1774,1500,1500,0,773,727,0,0,0,0,100,100,ea7aa50be9ac,d7b7fc65329f,6:727|100:773,reservoir;n=1500;seed=1
-,2521,0x0011,OUT,12,12,0,12,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1
12,2521,0x0012,OUT,18588,1500,1500,0,0,0,1500,0,0,187,95,100,00eac5549f4f,d7b7fc65329f,54:2|62:1|65:2|74:1|78:3|85:67|87:8|91:4|95:884|96:11|98:1|100:516,reservoir;n=1500;seed=1
12,2521,0x0013,IN,13,13,13,0,13,0,0,0,0,0,100,100,ec8c9b43cd49,d7b7fc65329f,100:13,reservoir;n=1500;seed=1
12,2521,0x0014,IN,31,31,31,0,31,0,0,0,0,0,100,100,707e661c62cd,d7b7fc65329f,100:31,reservoir;n=1500;seed=1
-,2521,0x0014,OUT,1,1,0,1,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1
12,2521,0x0015,IN,12,12,12,0,0,0,12,0,0,1,100,100,3bbd77e4fb7a,d7b7fc65329f,64:1|100:11,reservoir;n=1500;seed=1
2507,2521,0x0015,IN,12,12,12,0,12,0,0,0,0,0,100,100,afce9e0e791b,e531069fb1f2,100:12,reservoir;n=1500;seed=1
12,2521,0x0016,IN,14,14,14,0,14,0,0,0,0,0,100,100,bd0753bb66c6,d7b7fc65329f,100:14,reservoir;n=1500;seed=1
2546,2521,0x0016,IN,14,14,14,0,14,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:14,reservoir;n=1500;seed=1
2549,2521,0x0016,IN,14,14,14,0,14,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:14,reservoir;n=1500;seed=1
2550,2521,0x0016,IN,14,14,14,0,14,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:14,reservoir;n=1500;seed=1
-,2521,0x0016,OUT,2,2,0,2,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1
12,2521,0x0017,IN,26,26,26,0,0,0,26,0,0,0,100,100,1d52865cb228,d7b7fc65329f,13:2|21:2|99:2|100:20,reservoir;n=1500;seed=1
2500,2521,0x0017,IN,26,26,26,0,0,26,0,0,0,0,0,0,5f2e5359199a,e531069fb1f2,0:26,reservoir;n=1500;seed=1
2503,2521,0x0017,IN,26,26,26,0,0,17,9,0,0,0,61,100,e6752d96b9a6,e531069fb1f2,8:2|10:2|26:2|28:1|56:4|61:2|79:1|86:3|100:9,reservoir;n=1500;seed=1
2528,2521,0x0017,IN,26,26,26,0,0,0,26,0,0,0,100,100,a3115547491e,c7184ede6835,13:2|32:2|99:2|100:20,reservoir;n=1500;seed=1
2550,2521,0x0017,IN,26,26,26,0,0,0,26,0,0,0,100,100,a3115547491e,750b3e3c91cc,13:2|21:2|99:2|100:20,reservoir;n=1500;seed=1
12,2521,0x0018,IN,8,8,8,0,8,0,0,0,0,0,100,100,1026c3540aad,d7b7fc65329f,100:8,reservoir;n=1500;seed=1
12,2521,0x0019,IN,24,24,24,0,24,0,0,0,0,0,100,100,81ad6936565e,d7b7fc65329f,100:24,reservoir;n=1500;seed=1
2500,2521,0x0019,IN,24,24,24,0,24,0,0,0,0,0,100,100,2eb6d169688e,e531069fb1f2,100:24,reservoir;n=1500;seed=1
12,2521,0x0019,OUT,1,1,1,0,1,0,0,0,0,0,100,100,b46c97797129,d7b7fc65329f,100:1,reservoir;n=1500;seed=1
12,2521,0x001A,IN,24,24,24,0,12,3,9,0,0,0,100,100,30430a5d3899,d7b7fc65329f,14:3|100:21,reservoir;n=1500;seed=1
12,2521,0x001C,IN,4506,1500,1500,0,19,0,1481,0,0,67,100,100,0357b5c4fd5f,d7b7fc65329f,51:1|68:2|71:3|81:5|94:65|95:2|96:4|100:1418,reservoir;n=1500;seed=1
2507,2521,0x001C,IN,4506,1500,1500,0,1318,12,170,0,0,0,100,100,c7b0101dd29c,e531069fb1f2,84:12|100:1488,reservoir;n=1500;seed=1
-,2521,0x001C,OUT,5,5,0,5,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1
12,2521,0x001D,IN,27,27,27,0,27,0,0,0,0,0,100,100,73b8429f6c4a,d7b7fc65329f,100:27,reservoir;n=1500;seed=1
12,2521,0x001D,OUT,53,53,53,0,53,0,0,0,0,0,100,100,0e4f237b0289,d7b7fc65329f,100:53,reservoir;n=1500;seed=1
12,2521,0x001F,IN,14,14,14,0,0,14,0,0,0,0,62,62,e9ab09106d52,d7b7fc65329f,62:14,reservoir;n=1500;seed=1
12,2521,0x0020,OUT,277,277,277,0,273,1,3,0,0,0,100,100,6d8b0777422d,d7b7fc65329f,98:4|100:273,reservoir;n=1500;seed=1
2507,2521,0x0020,OUT,277,277,277,0,81,196,0,0,0,0,89,100,9259122a6ee0,e531069fb1f2,1:8|2:1|3:58|11:59|89:70|100:81,reservoir;n=1500;seed=1
2512,2521,0x0020,OUT,277,277,277,0,273,1,3,0,0,0,100,100,6d8b0777422d,6cdba8ccbaff,98:4|100:273,reservoir;n=1500;seed=1
12,2521,0x0021,IN,617,617,617,0,3,601,13,0,0,0,17,20,4a34cc581cd5,d7b7fc65329f,0:239|17:180|20:182|98:2|99:2|100:12,reservoir;n=1500;seed=1
2511,2521,0x0021,IN,617,617,617,0,2,609,4,2,0,0,17,20,1b1236b38a15,e531069fb1f2,0:239|7:7|8:1|11:2|17:180|20:180|36:1|38:1|100:6,reservoir;n=1500;seed=1
2525,2521,0x0021,IN,617,617,617,0,6,609,0,2,0,0,17,20,cfbd884737a3,e531069fb1f2,0:239|7:7|8:1|11:2|17:180|20:180|36:1|38:1|100:6,reservoir;n=1500;seed=1
2529,2521,0x0021,IN,617,617,617,0,6,609,0,2,0,0,17,20,cfbd884737a3,e531069fb1f2,0:239|7:7|8:1|11:2|17:180|20:180|36:1|38:1|100:6,reservoir;n=1500;seed=1
2546,2521,0x0021,IN,617,617,617,0,6,609,0,2,0,0,17,20,cfbd884737a3,750b3e3c91cc,0:239|7:7|8:1|11:2|17:180|20:180|36:1|38:1|100:6,reservoir;n=1500;seed=1
2549,2521,0x0021,IN,617,617,617,0,6,609,0,2,0,0,17,20,cfbd884737a3,750b3e3c91cc,0:239|7:7|8:1|11:2|17:180|20:180|36:1|38:1|100:6,reservoir;n=1500;seed=1
2550,2521,0x0021,IN,617,617,617,0,6,609,0,2,0,0,17,20,cfbd884737a3,750b3e3c91cc,0:239|7:7|8:1|11:2|17:180|20:180|36:1|38:1|100:6,reservoir;n=1500;seed=1
12,2521,0x0021,OUT,8,8,8,0,8,0,0,0,0,0,100,100,09b896927b5b,d7b7fc65329f,100:8,reservoir;n=1500;seed=1
12,2521,0x0022,OUT,18,18,18,0,18,0,0,0,0,0,100,100,a422af65b674,d7b7fc65329f,100:18,reservoir;n=1500;seed=1
12,2521,0x0023,IN,2155,1500,1500,0,25,0,1475,0,0,0,100,100,c5e823fa4439,d7b7fc65329f,100:1500,reservoir;n=1500;seed=1
2486,2521,0x0023,IN,2155,1500,1500,0,15,1485,0,0,0,0,17,17,ebb2ab2949d5,e531069fb1f2,6:9|8:1|11:1|17:1466|20:8|100:15,reservoir;n=1500;seed=1
2502,2521,0x0023,IN,2155,1500,1500,0,15,1485,0,0,0,0,11,11,89c9b48525c2,e531069fb1f2,4:9|8:1|11:1467|20:8|100:15,reservoir;n=1500;seed=1
12,2521,0x0024,IN,5145,1500,1500,0,1500,0,0,0,0,0,100,100,6954142e10b2,d7b7fc65329f,100:1500,reservoir;n=1500;seed=1
2502,2521,0x0024,IN,5145,1500,1500,0,1500,0,0,0,0,0,100,100,a88fbaa9b811,e531069fb1f2,100:1500,reservoir;n=1500;seed=1
2507,2521,0x0024,IN,5145,1500,1500,0,1500,0,0,0,0,0,100,100,a88fbaa9b811,e531069fb1f2,100:1500,reservoir;n=1500;seed=1
12,2521,0x0025,IN,1,1,1,0,0,0,1,0,0,0,9,9,2d2f793349e2,d7b7fc65329f,9:1,reservoir;n=1500;seed=1
12,2521,0x0025,OUT,1,1,1,0,1,0,0,0,0,0,100,100,2c0e79cf36dd,d7b7fc65329f,100:1,reservoir;n=1500;seed=1
2502,2521,0x0025,OUT,1,1,1,0,1,0,0,0,0,0,100,100,035035c631af,e531069fb1f2,100:1,reservoir;n=1500;seed=1
12,2521,0x0026,IN,5,5,5,0,5,0,0,0,0,0,100,100,f23617894301,d7b7fc65329f,100:5,reservoir;n=1500;seed=1
12,2521,0x0026,OUT,87,87,87,0,87,0,0,0,0,0,100,100,a1157fbdd8b0,d7b7fc65329f,100:87,reservoir;n=1500;seed=1
12,2521,0x0027,OUT,3,3,3,0,3,0,0,0,0,0,100,100,6159ee3ccd36,d7b7fc65329f,100:3,reservoir;n=1500;seed=1
12,2521,0x0029,OUT,6,6,6,0,6,0,0,0,0,0,100,100,abd8135d5662,d7b7fc65329f,100:6,reservoir;n=1500;seed=1
12,2521,0x002B,IN,120,120,120,0,0,0,120,0,0,0,93,93,edb1f3c0db05,d7b7fc65329f,93:114|99:4|100:2,reservoir;n=1500;seed=1
2530,2521,0x002B,IN,120,120,120,0,114,0,6,0,0,0,100,100,3c9bd7749e3a,6fcac0922e9d,99:5|100:115,reservoir;n=1500;seed=1
2531,2521,0x002B,IN,120,120,120,0,114,0,6,0,0,0,100,100,3c9bd7749e3a,6fcac0922e9d,99:5|100:115,reservoir;n=1500;seed=1
12,2521,0x002C,IN,115,115,115,0,115,0,0,0,0,0,100,100,36248f6b1c12,d7b7fc65329f,100:115,reservoir;n=1500;seed=1
12,2521,0x002C,OUT,2,2,2,0,2,0,0,0,0,0,100,100,5240b22c7fb7,d7b7fc65329f,100:2,reservoir;n=1500;seed=1
12,2521,0x002D,IN,77,77,77,0,6,71,0,0,0,0,53,53,edf07db7f802,d7b7fc65329f,53:71|100:6,reservoir;n=1500;seed=1
