source_build,target_build,opcode,direction,field_key,kind,n,min,max,mean,values
12,2517,0x0001,IN,/Block Initializing Vector (IV):Field,blob,1,4,4,4.000,-
12,2517,0x0001,IN,/Local Initializing Vector (IV):Field,blob,1,4,4,4.000,-
12,2517,0x0001,IN,/MapleStory# Version:Field,blob,1,4,4,4.000,-
12,2517,0x0001,IN,/Opcode:Int16,num,1,1,1,1.000,1:1
12,2517,0x0001,IN,/Packet Length:Field,blob,1,4,4,4.000,-
12,2517,0x0001,IN,/Patch Type:Byte,num,1,2,2,2.000,2:1
12,2517,0x0001,IN,/Raw Sequence:Int16,num,1,-12814,-12814,-12814.000,-12814:1
12,2517,0x0001,IN,/Remote Initializing Vector (IV):Field,blob,1,4,4,4.000,-
12,2517,0x0001,OUT,/Locale?:Int16,num,1,0,0,0.000,0:1
12,2517,0x0001,OUT,/Unknown:Int16,num,1,74,74,74.000,74:1
12,2517,0x0001,OUT,/Version:Int32,num,1,2517,2517,2517.000,2517:1
12,2517,0x0004,OUT,/AccountId:Int64,num,1,2.600852081586108E+18,2.600852081586108E+18,2600852081586107904.000,2600852081586107936:1
12,2517,0x0004,OUT,/MachineId:Field,blob,1,16,16,16.000,-
12,2517,0x0004,OUT,/TokenA:Int32,num,1,3492652,3492652,3492652.000,3492652:1
12,2517,0x0004,OUT,/TokenB:Int32,num,1,289158100,289158100,289158100.000,289158100:1
12,2517,0x0005,IN,/Key:Int32,num,1,55,55,55.000,55:1
12,2517,0x0005,IN,/Unknown:Int32,num,1,1,1,1.000,1:1
12,2517,0x0005,IN,/function:Byte,num,1,0,0,0.000,0:1
12,2517,0x0005,IN,SomeKey/SomeKey:Field,blob,1,35,35,35.000,-
12,2517,0x0005,IN,SomeKey/size:Int16,num,1,35,35,35.000,35:1
12,2517,0x0006,IN,/unknown:Int32,num,4,8,242,143.250,232:1|242:1|8:1|91:1
2486,2517,0x0006,IN,/ping:Int32,num,4,8,242,143.250,232:1|242:1|8:1|91:1
2486,2517,0x0006,OUT,/ping:Int32,num,4,1753,2137,1991.500,1753:1|2000:1|2076:1|2137:1
12,2517,0x000B,OUT,/Sequence:Int32,num,11,710,720,715.000,710:1|711:1|712:1|713:1|714:1|715:1|716:1|717:1|718:1|719:1|720:1
12,2517,0x000C,OUT,/ClientTicks:Int32,num,1,1236592,1236592,1236592.000,1236592:1
12,2517,0x000C,OUT,/ServerTicks:Int32,num,1,622692839,622692839,622692839.000,622692839:1
12,2517,0x000D,IN,/message:Byte,num,1,0,0,0.000,0:1
12,2517,0x0011,IN,/ServerTick:Int32,num,12,622692834,622711928,622703017.167,622692834:1|622694011:1|622697940:1|622699390:1|622700934:1|622702411:1|622704140:1|622705879:1|622707428:1|622708892:1|622710419:1|622711928:1
12,2517,0x0011,IN,/TimeOffset:Int32,num,12,-32400,-32400,-32400.000,-32400:12
12,2517,0x0011,IN,/Timestamp:Int64,num,13,1639629541,1639629561,1639629550.846,1639629541:2|1639629543:1|1639629547:1|1639629548:1|1639629550:1|1639629551:1|1639629553:1|1639629554:1|1639629556:1|1639629557:1|1639629559:1|1639629561:1
12,2517,0x0011,IN,/Timezone:Byte,num,12,0,0,0.000,0:12
12,2517,0x0011,IN,/function:Byte,num,23,0,3,1.043,0:11|2:10|1:1|3:1
12,2517,0x0011,IN,/key:Int32,num,11,710,720,715.000,710:1|711:1|712:1|713:1|714:1|715:1|716:1|717:1|718:1|719:1|720:1
12,2517,0x0012,OUT,/ClientTicks:Int32,num,212,1240993,1254996,1245932.151,~other:148|1240993:1|1241693:1|1242010:1|1242853:1|1243211:1|1243217:1|1243226:1|1243235:1|1243244:1|1243254:1|1243279:1|1243286:1|1243294:1|1243303:1|1243312:1|1243321:1|1243332:1|1243337:1|1243346:1|1243356:1|1243366:1|1243375:1|1243386:1|1243393:1|1243406:1|1243412:1|1243420:1|1243428:1|1243440:1|1243446:1|1243454:1|1243463:1|1243472:1|1243480:1|1243490:1|1243500:1|1243508:1|1243517:1|1243526:1|1243535:1|1243545:1|1243552:1|1243562:1|1243571:1|1243582:1|1243590:1|1243601:1|1243609:1|1243618:1|1243627:1|1243635:1|1243644:1|1243655:1|1243662:1|1243671:1|1243681:1|1243689:1|1243698:1|1243710:1|1243714:1|1243724:1|1243733:1|1243743:1|1243751:1
12,2517,0x0012,OUT,/Function:Byte,num,212,0,0,0.000,0:212
12,2517,0x0012,OUT,/ServerTick:Int32,num,212,622696701,622711859,622702833.024,~other:148|622696701:1|622698265:1|622698582:1|622699700:1|622700058:1|622700064:1|622700073:1|622700082:1|622700091:1|622700101:1|622700126:1|622700133:1|622700141:1|622700150:1|622700159:1|622700168:1|622700179:1|622700184:1|622700193:1|622700203:1|622700213:1|622700222:1|622700233:1|622700240:1|622700253:1|622700259:1|622700267:1|622700275:1|622700287:1|622700293:1|622700301:1|622700310:1|622700319:1|622700327:1|622700337:1|622700347:1|622700355:1|622700364:1|622700373:1|622700382:1|622700392:1|622700399:1|622700409:1|622700418:1|622700429:1|622700437:1|622700448:1|622700456:1|622700465:1|622700474:1|622700482:1|622700491:1|622700502:1|622700509:1|622700518:1|622700528:1|622700536:1|622700545:1|622700557:1|622700561:1|622700571:1|622700580:1|622700590:1|622700598:1
12,2517,0x0012,OUT,/segments:Byte,num,212,1,2,1.014,1:209|2:3
12,2517,0x0012,OUT,Segment #/ClientTicks:Int32,num,4,622700203,622704668,622702990.250,622700203:1|622702827:1|622704263:1|622704668:1
12,2517,0x0012,OUT,Segment #/StateSync/Animation#:Byte,num,212,2,90,40.189,2:120|90:92
12,2517,0x0012,OUT,Segment #/StateSync/AnimationString?/size:Int16,num,24,-10263,9501,902.000,9501:13|-10263:6|-10008:3|-1:1|-10262:1
12,2517,0x0012,OUT,Segment #/StateSync/CoordS / #:Int16,num,212,-22990,1,-11806.712,0:82|~other:58|1:10|-20382:1|-20418:1|-20428:1|-20435:1|-21386:1|-22403:1|-22410:1|-22419:1|-22430:1|-22439:1|-22448:1|-22456:1|-22465:1|-22474:1|-22482:1|-22492:1|-22501:1|-22511:1|-22515:1|-22527:1|-22536:1|-22544:1|-22554:1|-22563:1|-22570:1|-22581:1|-22590:1|-22598:1|-22607:1|-22616:1|-22624:1|-22635:1|-22643:1|-22654:1|-22663:1|-22673:1|-22680:1|-22690:1|-22699:1|-22708:1|-22717:1|-22725:1|-22735:1|-22745:1|-22753:1|-22762:1|-22771:1|-22779:1|-22785:1|-22797:1|-22805:1|-22813:1|-22839:1|-22850:1|-22859:1|-22888:1|-22893:1|-22904:1|-22913:1|-22971:1|-22981:1|-22990:1
12,2517,0x0012,OUT,Segment #/StateSync/Flag:Byte,num,212,0,255,103.623,~other:60|49:49|240:10|104:5|229:3|233:3|10:2|17:2|231:2|236:2|238:2|242:2|245:2|247:2|252:2|38:2|45:2|47:2|52:2|54:2|57:2|59:2|64:2|66:2|71:2|73:2|75:2|82:2|84:2|0:1|100:1|102:1|12:1|13:1|14:1|15:1|19:1|2:1|235:1|24:1|249:1|250:1|254:1|255:1|26:1|28:1|3:1|31:1|33:1|35:1|4:1|40:1|42:1|5:1|6:1|61:1|69:1|7:1|78:1|8:1|80:1|91:1|93:1|95:1|98:1
12,2517,0x0012,OUT,Segment #/StateSync/PositionCoordS/X:Int16,num,212,-32526,29938,912.425,~other:48|3591:44|2049:22|2568:21|-15631:5|-16398:5|2567:3|3592:3|-15630:2|-25358:2|2056:2|2060:2|-10510:1|-11022:1|-14606:1|-15118:1|-17423:1|-17934:1|-17935:1|-18702:1|-18703:1|-19214:1|-19215:1|-21007:1|-21774:1|-21775:1|-22286:1|-22798:1|-23054:1|-23566:1|-24078:1|-24846:1|-25870:1|-26382:1|-27662:1|-2830:1|-28430:1|-30990:1|-31246:1|-32014:1|-32526:1|-3342:1|-5902:1|-6414:1|-9486:1|-9998:1|18162:1|18930:1|19442:1|2048:1|2057:1|21234:1|22002:1|2311:1|2312:1|25330:1|2570:1|2571:1|2572:1|25842:1|26610:1|27122:1|28914:1|29426:1|29938:1
12,2517,0x0012,OUT,Segment #/StateSync/PositionCoordS/Y:Int16,num,212,-8729,90,-3736.755,90:120|-8728:76|-8729:16
12,2517,0x0012,OUT,Segment #/StateSync/PositionCoordS/Z:Int16,num,212,-31739,31237,220.849,45:120|31237:28|-18427:27|-13819:21|5:6|-2043:1|-2555:1|-26619:1|-29691:1|-31739:1|-7163:1|10245:1|16901:1|18437:1|8709:1
12,2517,0x0012,OUT,Segment #/StateSync/Rotation# CoordS / #:Int16,num,212,-12288,32767,1790.042,9:117|2049:23|2051:14|2056:13|2312:10|2307:5|2305:4|12547:3|32767:3|2561:2|2563:2|-12288:1|-9472:1|11267:1|12291:1|13056:1|13059:1|13312:1|13315:1|13571:1|1537:1|1793:1|1800:1|2304:1|2568:1|2817:1|4872:1
12,2517,0x0012,OUT,Segment #/StateSync/Rotation:Int16,num,212,-40,3075,1053.849,-40:120|2049:25|2568:22|3075:20|2307:8|2304:4|2059:2|2560:2|2048:1|2057:1|2058:1|2061:1|2569:1|2572:1|2573:1|3073:1|3074:1
12,2517,0x0012,OUT,Segment #/StateSync/SpeedCoordS/X:Int16,num,212,449,11520,5839.608,11520:92|1800:48|2250:29|449:27|899:16
12,2517,0x0012,OUT,Segment #/StateSync/SpeedCoordS/Y:Int16,num,212,-10240,306,-4437.184,-10240:92|8:81|9:25|10:5|7:4|11:1|21:1|23:1|306:1|85:1
12,2517,0x0012,OUT,Segment #/StateSync/SpeedCoordS/Z:Int16,num,212,-6144,767,-3015.679,767:92|-6144:83|-5888:30|-5632:4|-256:3
12,2517,0x0012,OUT,Segment #/StateSync/Unknown:Byte,num,212,0,255,194.057,216:65|215:52|193:32|202:26|131:21|122:8|0:5|255:3
12,2517,0x0012,OUT,Segment #/StateSync/Unknown:Int16,num,120,-30203,31237,-2021.667,2053:46|-13819:26|-18427:23|31237:14|-4091:2|19973:2|-19963:1|-2043:1|-23547:1|-30203:1|10757:1|17413:1|24581:1
12,2517,0x0012,OUT,Segment #/StateSync/Unknown:Int32,num,164,-572012046,622704386,-410660892.317,~other:82|645097:12|-571959822:2|-571960846:2|-571961614:2|-571973390:2|-571975182:2|-571981070:2|-571981838:2|-571957262:1|-571960334:1|-571962638:1|-571963406:1|-571964430:1|-571965198:1|-571965966:1|-571966734:1|-571967758:1|-571968526:1|-571969294:1|-571970062:1|-571971086:1|-571971854:1|-571972622:1|-571974158:1|-571975950:1|-571976974:1|-571977742:1|-571978510:1|-571979278:1|-571980046:1|-571982606:1|-571983630:1|-571984398:1|-571985422:1|-571986190:1|-571987214:1|-571987982:1|-571988750:1|-571989774:1|-571990542:1|-571991310:1|-571992078:1|-571993102:1|-571993870:1|-571994894:1|-571995662:1|-571996430:1|-571997198:1|-571997966:1|-571998734:1|-571999502:1|-572000270:1|-572002318:1|-572002830:1|-572003342:1|-572005390:1|-572005902:1|-572006414:1|-572006926:1|-572011022:1|-572011534:1|-572012046:1|16852253:1|645096:1
12,2517,0x0012,OUT,Segment #/StateSync/UnknownCoordF/X:Single,num,41,9.039720341420822E-40,2.3720185482180833E-38,NaN,9;04331E-40:19|9;03973E-40:14|9;04332E-40:3|NaN:2|2;3720185E-38:1|9;03972E-40:1|9;03975E-40:1
12,2517,0x0012,OUT,Segment #/StateSync/UnknownCoordF/Y:Single,num,41,-7.364810113500079E+24,1.3680079730013462E-16,-179629514963416543920128.000,-7;36481E+24:1|1;3673857E-16:1|1;3673877E-16:1|1;3673956E-16:1|1;3673978E-16:1|1;3674035E-16:1|1;3674098E-16:1|1;3677306E-16:1|1;367733E-16:1|1;3677389E-16:1|1;3677453E-16:1|1;3677471E-16:1|1;3677535E-16:1|1;3677593E-16:1|1;3677617E-16:1|1;3678814E-16:1|1;3678837E-16:1|1;3678874E-16:1|1;3678916E-16:1|1;3678935E-16:1|1;3678961E-16:1|1;367902E-16:1|1;3679268E-16:1|1;3679292E-16:1|1;367935E-16:1|1;3679374E-16:1|1;367941E-16:1|1;3679435E-16:1|1;3679513E-16:1|1;3679577E-16:1|1;3679658E-16:1|1;3679704E-16:1|1;3679762E-16:1|1;3679774E-16:1|1;3679848E-16:1|1;3679861E-16:1|1;367992E-16:1|1;3679935E-16:1|1;368001E-16:1|1;368002E-16:1|1;368008E-16:1
12,2517,0x0012,OUT,Segment #/StateSync/UnknownCoordF/Z:Single,num,1,1.2158811224741758E-33,1.2158811224741758E-33,0.000,1;2158811E-33:1
12,2517,0x0012,OUT,Segment #/StateSync/UnknownStr/size:Int16,num,37,-23008,23049,-17017.649,-11518:1|-12525:1|-13533:1|-14540:1|-15541:1|-16551:1|-17557:1|-18268:1|-18285:1|-18330:1|-18394:1|-18460:1|-18505:1|-18524:1|-18569:1|-18622:1|-18638:1|-18703:1|-18729:1|-18790:1|-18853:1|-18916:1|-19123:1|-19184:1|-19211:1|-19260:1|-19278:1|-20183:1|-20228:1|-20292:1|-20353:1|-22819:1|-22931:1|-22946:1|-23008:1|-3535:1|23049:1
12,2517,0x0012,OUT,Segment #/StateSync/state:Byte,num,212,1,4,1.962,2:198|1:12|4:2
12,2517,0x0012,OUT,Segment #/StateSync/subState:Byte,num,212,1,134,23.802,24:198|1:10|134:2|8:2
12,2517,0x0013,IN,/ServerTicks:Int32,num,1,622692839,622692839,622692839.000,622692839:1
12,2517,0x0014,IN,/SyncNumber:Byte,num,1,0,0,0.000,0:1
12,2517,0x0015,IN,/Channel:Int16,num,1,6,6,6.000,6:1
12,2517,0x0015,IN,/EventMerets:Int64,num,1,0,0,0.000,0:1
12,2517,0x0015,IN,/Exp:Int64,num,1,62658029,62658029,62658029.000,62658029:1
12,2517,0x0015,IN,/HaviFruit:Int64,num,1,7300,7300,7300.000,7300:1
12,2517,0x0015,IN,/MenteeToken:Int64,num,1,0,0,0.000,0:1
12,2517,0x0015,IN,/MentorToken:Int64,num,1,0,0,0.000,0:1
12,2517,0x0015,IN,/MesoToken:Int64,num,1,0,0,0.000,0:1
12,2517,0x0015,IN,/Mesos:Int64,num,1,40157588,40157588,40157588.000,40157588:1
12,2517,0x0015,IN,/PlayerId:Int64,num,1,2.6005706066422784E+18,2.6005706066422784E+18,2600570606642278400.000,2600570606642278481:1
12,2517,0x0015,IN,/PlayerObjectId:Int32,num,1,232115,232115,232115.000,232115:1
12,2517,0x0015,IN,/RestExp:Int64,num,1,38624425,38624425,38624425.000,38624425:1
12,2517,0x0015,IN,/ReverseCoin:Int64,num,1,2500,2500,2500.000,2500:1
12,2517,0x0015,IN,/Rue:Int64,num,1,1312,1312,1312.000,1312:1
12,2517,0x0015,IN,/StarPoint:Int64,num,1,0,0,0.000,0:1
12,2517,0x0015,IN,/Treva:Int64,num,1,475,475,475.000,475:1
12,2517,0x0015,IN,/Unknown:Byte,num,2,0,31,15.500,0:1|31:1
12,2517,0x0015,IN,/ValorToken:Int64,num,1,0,0,0.000,0:1
12,2517,0x0015,IN,Merets/GameMerets#:Int64,num,1,0,0,0.000,0:1
12,2517,0x0015,IN,Merets/GameMerets:Int64,num,1,0,0,0.000,0:1
12,2517,0x0015,IN,Merets/Merets#:Int64,num,1,0,0,0.000,0:1
12,2517,0x0015,IN,Merets/Merets:Int64,num,1,121,121,121.000,121:1
12,2517,0x0015,IN,Profile URL/Profile URL:Field,blob,1,112,112,112.000,-
12,2517,0x0015,IN,Profile URL/size:Int16,num,1,56,56,56.000,56:1
12,2517,0x0015,IN,Unlocked Maps/Count:Int16,num,1,-2302,-2302,-2302.000,-2302:1
12,2517,0x0015,IN,Unlocked Taxis/Count:Int16,num,1,7812,7812,7812.000,7812:1
