source_build,target_build,opcode,direction,seen,executed,ran,no_script,ok_exact,under_read,over_read,threw,compile_error,negative_length,consumed_p50,consumed_p90,script_sha,env_sha,consumed_hist,sampling,over_sigs
12,2511,0x0001,IN,11,11,11,0,11,0,0,0,0,0,100,100,7f8c78029510,d7b7fc65329f,100:11,reservoir;n=1500;seed=1,-
12,2511,0x0001,OUT,11,11,11,0,11,0,0,0,0,0,100,100,c024851cf5a7,d7b7fc65329f,100:11,reservoir;n=1500;seed=1,-
12,2511,0x0004,IN,11,11,11,0,11,0,0,0,0,0,100,100,8ceb5dea67ee,d7b7fc65329f,100:11,reservoir;n=1500;seed=1,-
12,2511,0x0004,OUT,11,11,11,0,11,0,0,0,0,0,100,100,6f95cf27934c,d7b7fc65329f,100:11,reservoir;n=1500;seed=1,-
12,2511,0x0005,IN,18,18,18,0,18,0,0,0,0,0,100,100,904ae535cf82,d7b7fc65329f,100:18,reservoir;n=1500;seed=1,-
12,2511,0x0006,IN,207,207,207,0,207,0,0,0,0,0,100,100,1259343bcd4e,d7b7fc65329f,100:207,reservoir;n=1500;seed=1,-
2486,2511,0x0006,IN,207,207,207,0,207,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:207,reservoir;n=1500;seed=1,-
2486,2511,0x0006,OUT,207,207,207,0,207,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:207,reservoir;n=1500;seed=1,-
12,2511,0x000B,OUT,1137,1137,1137,0,1137,0,0,0,0,0,100,100,0bfa8a381791,d7b7fc65329f,100:1137,reservoir;n=1500;seed=1,-
12,2511,0x000C,OUT,11,11,11,0,11,0,0,0,0,0,100,100,03af1cb1cb9c,d7b7fc65329f,100:11,reservoir;n=1500;seed=1,-
12,2511,0x000D,IN,11,11,11,0,11,0,0,0,0,0,100,100,b3dc9594248c,d7b7fc65329f,100:11,reservoir;n=1500;seed=1,-
-,2511,0x000E,OUT,11,11,0,11,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
-,2511,0x000F,OUT,11,11,0,11,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
-,2511,0x0010,OUT,11,11,0,11,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2511,0x0011,IN,2283,1500,1500,0,751,749,0,0,0,0,100,100,ea7aa50be9ac,d7b7fc65329f,6:749|100:751,reservoir;n=1500;seed=1,-
-,2511,0x0011,OUT,51,51,0,51,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2511,0x0012,OUT,2843,1500,1500,0,0,0,1500,0,0,284,95,100,00eac5549f4f,d7b7fc65329f,49:1|54:2|60:2|62:14|65:3|66:1|74:4|77:2|80:22|82:1|84:4|85:67|87:15|90:2|93:1|95:724|96:27|100:608,reservoir;n=1500;seed=1,PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [Z:Single]:585|NegativeLength: ReadBytes: negative length -# at offset #/# @  [UnknownStr:Field]:216|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Int32]:206|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [X:Single]:198|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [UnknownStr:Field]:177|NegativeLength: ReadBytes: negative length -# at offset #/# @  [AnimationString?:Field]:68|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [AnimationString?:Field]:24|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ServerTick:Int32]:11|PastEnd: Read<Byte>: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Byte]:9|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [Y:Single]:4|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [CoordS / #:Int16]:1|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [size:Int16]:1
12,2511,0x0013,IN,11,11,11,0,11,0,0,0,0,0,100,100,ec8c9b43cd49,d7b7fc65329f,100:11,reservoir;n=1500;seed=1,-
12,2511,0x0013,OUT,4,4,4,0,4,0,0,0,0,0,100,100,54d6960e211f,d7b7fc65329f,100:4,reservoir;n=1500;seed=1,-
12,2511,0x0014,IN,11,11,11,0,11,0,0,0,0,0,100,100,707e661c62cd,d7b7fc65329f,100:11,reservoir;n=1500;seed=1,-
12,2511,0x0015,IN,11,11,11,0,0,0,11,0,0,0,100,100,3bbd77e4fb7a,d7b7fc65329f,99:2|100:9,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [MapId:Int32]:11
2507,2511,0x0015,IN,11,11,11,0,11,0,0,0,0,0,100,100,afce9e0e791b,e531069fb1f2,100:11,reservoir;n=1500;seed=1,-
12,2511,0x0016,IN,11,11,11,0,11,0,0,0,0,0,100,100,bd0753bb66c6,d7b7fc65329f,100:11,reservoir;n=1500;seed=1,-
2546,2511,0x0016,IN,11,11,11,0,11,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:11,reservoir;n=1500;seed=1,-
2549,2511,0x0016,IN,11,11,11,0,11,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:11,reservoir;n=1500;seed=1,-
2550,2511,0x0016,IN,11,11,11,0,11,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:11,reservoir;n=1500;seed=1,-
-,2511,0x0016,OUT,20,20,0,20,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2511,0x0017,IN,16,16,16,0,0,1,15,0,0,3,100,100,1d52865cb228,d7b7fc65329f,29:1|72:1|86:1|96:1|99:2|100:10,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Player+#B#:Int64]:7|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @ Skills [SkillId:Int32]:2|NegativeLength: ReadBytes: negative length -# at offset #/# @  [Buffer:Field]:1|NegativeLength: ReadBytes: negative length -# at offset #/# @  [ItemName:Field]:1|NegativeLength: ReadBytes: negative length -# at offset #/# @  [Profile Url:Field]:1|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [StatType:#:Int32]:1|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Buffer:Field]:1|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Profile Url:Field]:1
2500,2511,0x0017,IN,16,16,16,0,0,16,0,0,0,0,0,0,5f2e5359199a,e531069fb1f2,0:16,reservoir;n=1500;seed=1,-
2503,2511,0x0017,IN,16,16,16,0,0,14,2,0,0,0,16,100,e6752d96b9a6,e531069fb1f2,8:1|9:4|10:2|16:1|17:2|26:1|29:3|100:2,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [level:Int32]:2
