source_build,target_build,opcode,direction,field_key,kind,n,min,max,mean,values
12,2531,0x0001,IN,/Block Initializing Vector (IV):Field,blob,2,4,4,4.000,-
12,2531,0x0001,IN,/Local Initializing Vector (IV):Field,blob,2,4,4,4.000,-
12,2531,0x0001,IN,/MapleStory# Version:Field,blob,2,4,4,4.000,-
12,2531,0x0001,IN,/Opcode:Int16,num,2,1,1,1.000,1:2
12,2531,0x0001,IN,/Packet Length:Field,blob,2,4,4,4.000,-
12,2531,0x0001,IN,/Patch Type:Byte,num,2,2,2,2.000,2:2
12,2531,0x0001,IN,/Raw Sequence:Int16,num,2,-23326,-16174,-19750.000,-16174:1|-23326:1
12,2531,0x0001,IN,/Remote Initializing Vector (IV):Field,blob,2,4,4,4.000,-
12,2531,0x0001,OUT,/Locale?:Int16,num,2,0,0,0.000,0:2
12,2531,0x0001,OUT,/Unknown:Int16,num,2,80,80,80.000,80:2
12,2531,0x0001,OUT,/Version:Int32,num,2,2531,2531,2531.000,2531:2
12,2531,0x0004,OUT,/AccountId:Int64,num,2,2.600852081586108E+18,2.600852081586108E+18,2600852081586107904.000,2600852081586107936:2
12,2531,0x0004,OUT,/MachineId:Field,blob,2,16,16,16.000,-
12,2531,0x0004,OUT,/TokenA:Int32,num,2,165393480,351639057,258516268.500,165393480:1|351639057:1
12,2531,0x0004,OUT,/TokenB:Int32,num,2,6161157,81455500,43808328.500,6161157:1|81455500:1
12,2531,0x0005,IN,/Key:Int32,num,2,25903,74821,50362.000,25903:1|74821:1
12,2531,0x0005,IN,/Unknown:Int32,num,2,1,1,1.000,1:2
12,2531,0x0005,IN,/function:Byte,num,2,0,0,0.000,0:2
12,2531,0x0005,IN,SomeKey/SomeKey:Field,blob,2,35,36,35.500,-
12,2531,0x0005,IN,SomeKey/size:Int16,num,2,35,36,35.500,35:1|36:1
12,2531,0x0006,IN,/unknown:Int32,num,9,20,70,46.667,20:1|28:1|37:1|38:1|49:1|50:1|60:1|68:1|70:1
2486,2531,0x0006,IN,/ping:Int32,num,9,20,70,46.667,20:1|28:1|37:1|38:1|49:1|50:1|60:1|68:1|70:1
2486,2531,0x0006,OUT,/ping:Int32,num,9,1829,2141,1943.667,1829:1|1863:1|1865:1|1902:1|1930:1|1937:1|1973:1|2053:1|2141:1
