source_build,target_build,opcode,direction,field_key,kind,n,min,max,mean,values
12,2490,0x0001,IN,/Block Initializing Vector (IV):Field,blob,1,4,4,4.000,-
12,2490,0x0001,IN,/Local Initializing Vector (IV):Field,blob,1,4,4,4.000,-
12,2490,0x0001,IN,/MapleStory# Version:Field,blob,1,4,4,4.000,-
12,2490,0x0001,IN,/Opcode:Int16,num,1,1,1,1.000,1:1
12,2490,0x0001,IN,/Packet Length:Field,blob,1,4,4,4.000,-
12,2490,0x0001,IN,/Patch Type:Byte,num,1,2,2,2.000,2:1
12,2490,0x0001,IN,/Raw Sequence:Int16,num,1,-20050,-20050,-20050.000,-20050:1
12,2490,0x0001,IN,/Remote Initializing Vector (IV):Field,blob,1,4,4,4.000,-
12,2490,0x0001,OUT,/Locale?:Int16,num,1,0,0,0.000,0:1
12,2490,0x0001,OUT,/Unknown:Int16,num,1,70,70,70.000,70:1
12,2490,0x0001,OUT,/Version:Int32,num,1,2490,2490,2490.000,2490:1
12,2490,0x0004,OUT,/AccountId:Int64,num,1,113551,113551,113551.000,113551:1
12,2490,0x0004,OUT,/MachineId:Field,blob,1,16,16,16.000,-
12,2490,0x0004,OUT,/TokenA:Int32,num,1,699575657,699575657,699575657.000,699575657:1
12,2490,0x0004,OUT,/TokenB:Int32,num,1,142295270,142295270,142295270.000,142295270:1
12,2490,0x0005,IN,/Key:Int32,num,2,1629,23774,12701.500,1629:1|23774:1
12,2490,0x0005,IN,/Unknown:Int32,num,2,1,2,1.500,1:1|2:1
12,2490,0x0005,IN,/function:Byte,num,2,0,0,0.000,0:2
12,2490,0x0005,IN,SomeKey/SomeKey:Field,blob,2,35,36,35.500,-
12,2490,0x0005,IN,SomeKey/size:Int16,num,2,35,36,35.500,35:1|36:1
12,2490,0x0006,IN,/unknown:Int32,num,14,21,1023,678.214,1000:1|1010:1|1023:1|21:1|61:1|661:1|671:1|686:1|697:1|709:1|721:1|734:1|745:1|756:1
2486,2490,0x0006,IN,/ping:Int32,num,14,21,1023,678.214,1000:1|1010:1|1023:1|21:1|61:1|661:1|671:1|686:1|697:1|709:1|721:1|734:1|745:1|756:1
2486,2490,0x0006,OUT,/ping:Int32,num,14,799,3528,1876.000,1405:1|1414:1|1486:1|1555:1|1616:1|1681:1|1749:1|1810:1|1821:1|3182:1|3326:1|3528:1|799:1|892:1
12,2490,0x000B,OUT,/Sequence:Int32,num,61,86,337,234.984,100:1|101:1|102:1|103:1|104:1|105:1|106:1|107:1|108:1|300:1|301:1|302:1|303:1|304:1|305:1|306:1|307:1|308:1|309:1|310:1|311:1|312:1|313:1|314:1|315:1|316:1|317:1|318:1|319:1|320:1|321:1|322:1|323:1|324:1|325:1|326:1|327:1|328:1|329:1|330:1|331:1|332:1|333:1|334:1|335:1|336:1|337:1|86:1|87:1|88:1|89:1|90:1|91:1|92:1|93:1|94:1|95:1|96:1|97:1|98:1|99:1
12,2490,0x000C,OUT,/ClientTicks:Int32,num,1,180613,180613,180613.000,180613:1
12,2490,0x000C,OUT,/ServerTicks:Int32,num,1,457151990,457151990,457151990.000,457151990:1
12,2490,0x000D,IN,/message:Byte,num,1,0,0,0.000,0:1
12,2490,0x0010,IN,/IpAddress:Int32,num,1,142295270,142295270,142295270.000,142295270:1
12,2490,0x0010,IN,/MapId:Int32,num,1,1966147538,1966147538,1966147538.000,1966147538:1
12,2490,0x0010,IN,/MigrationToken:Int32,num,1,699575657,699575657,699575657.000,699575657:1
12,2490,0x0010,IN,/Port:Int16,num,1,-29315,-29315,-29315.000,-29315:1
12,2490,0x0010,IN,/Unknown:Byte,num,1,216,216,216.000,216:1
12,2490,0x0010,IN,/Unknown:Int32,num,1,285220484,285220484,285220484.000,285220484:1
12,2490,0x0010,IN,/message:Byte,num,1,0,0,0.000,0:1
12,2490,0x0011,IN,/ServerTick:Int32,num,61,445683157,457167083,450020598.311,445683157:1|445684375:1|445685574:1|445686775:1|445687976:1|445689195:1|445690395:1|445691599:1|445692797:1|445694190:1|445695455:1|445696799:1|445698035:1|445699235:1|445700441:1|445701656:1|445703127:1|445704458:1|445705673:1|445706875:1|445708272:1|445709477:1|445710695:1|445711912:1|445713247:1|445714514:1|445715718:1|445717257:1|445718618:1|445719840:1|445721037:1|445722236:1|445723607:1|445724863:1|445726123:1|445727361:1|445728564:1|445729777:1|457130616:1|457131833:1|457133187:1|457134629:1|457135958:1|457137163:1|457138616:1|457140058:1|457141401:1|457142851:1|457144251:1|457145612:1|457151984:1|457152487:1|457156349:1|457157625:1|457159015:1|457160357:1|457161696:1|457162895:1|457164247:1|457165679:1|457167083:1
12,2490,0x0011,IN,/TimeOffset:Int32,num,61,-32400,-32400,-32400.000,-32400:61
