source_build,target_build,opcode,direction,seen,executed,ran,no_script,ok_exact,under_read,over_read,threw,compile_error,negative_length,consumed_p50,consumed_p90,script_sha,env_sha,consumed_hist,sampling,over_sigs
12,2524,0x0001,IN,8,8,8,0,8,0,0,0,0,0,100,100,7f8c78029510,d7b7fc65329f,100:8,reservoir;n=1500;seed=1,-
12,2524,0x0001,OUT,8,8,8,0,8,0,0,0,0,0,100,100,c024851cf5a7,d7b7fc65329f,100:8,reservoir;n=1500;seed=1,-
12,2524,0x0004,IN,8,8,8,0,8,0,0,0,0,0,100,100,8ceb5dea67ee,d7b7fc65329f,100:8,reservoir;n=1500;seed=1,-
12,2524,0x0004,OUT,8,8,8,0,8,0,0,0,0,0,100,100,6f95cf27934c,d7b7fc65329f,100:8,reservoir;n=1500;seed=1,-
12,2524,0x0005,IN,11,11,11,0,11,0,0,0,0,0,100,100,904ae535cf82,d7b7fc65329f,100:11,reservoir;n=1500;seed=1,-
12,2524,0x0006,IN,69,69,69,0,69,0,0,0,0,0,100,100,1259343bcd4e,d7b7fc65329f,100:69,reservoir;n=1500;seed=1,-
2486,2524,0x0006,IN,69,69,69,0,69,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:69,reservoir;n=1500;seed=1,-
2486,2524,0x0006,OUT,69,69,69,0,69,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:69,reservoir;n=1500;seed=1,-
12,2524,0x000B,OUT,314,314,314,0,314,0,0,0,0,0,100,100,0bfa8a381791,d7b7fc65329f,100:314,reservoir;n=1500;seed=1,-
12,2524,0x000C,OUT,8,8,8,0,8,0,0,0,0,0,100,100,03af1cb1cb9c,d7b7fc65329f,100:8,reservoir;n=1500;seed=1,-
12,2524,0x000D,IN,8,8,8,0,8,0,0,0,0,0,100,100,b3dc9594248c,d7b7fc65329f,100:8,reservoir;n=1500;seed=1,-
-,2524,0x000E,OUT,8,8,0,8,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
-,2524,0x000F,OUT,8,8,0,8,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2524,0x0010,IN,2,2,2,0,2,0,0,0,0,0,100,100,aa9463bb9345,d7b7fc65329f,100:2,reservoir;n=1500;seed=1,-
-,2524,0x0010,OUT,8,8,0,8,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2524,0x0011,IN,633,633,633,0,327,306,0,0,0,0,100,100,ea7aa50be9ac,d7b7fc65329f,6:306|100:327,reservoir;n=1500;seed=1,-
-,2524,0x0011,OUT,1,1,0,1,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
