source_build,target_build,opcode,direction,field_key,kind,n,min,max,mean,values
12,2491,0x0001,IN,/Block Initializing Vector (IV):Field,blob,1,4,4,4.000,-
12,2491,0x0001,IN,/Local Initializing Vector (IV):Field,blob,1,4,4,4.000,-
12,2491,0x0001,IN,/MapleStory# Version:Field,blob,1,4,4,4.000,-
12,2491,0x0001,IN,/Opcode:Int16,num,1,1,1,1.000,1:1
12,2491,0x0001,IN,/Packet Length:Field,blob,1,4,4,4.000,-
12,2491,0x0001,IN,/Patch Type:Byte,num,1,2,2,2.000,2:1
12,2491,0x0001,IN,/Raw Sequence:Int16,num,1,368,368,368.000,368:1
12,2491,0x0001,IN,/Remote Initializing Vector (IV):Field,blob,1,4,4,4.000,-
12,2491,0x0001,OUT,/Locale?:Int16,num,1,0,0,0.000,0:1
12,2491,0x0001,OUT,/Unknown:Int16,num,1,70,70,70.000,70:1
12,2491,0x0001,OUT,/Version:Int32,num,1,2491,2491,2491.000,2491:1
12,2491,0x0004,OUT,/AccountId:Int64,num,1,2.6008586829223726E+18,2.6008586829223726E+18,2600858682922372608.000,2600858682922372473:1
12,2491,0x0004,OUT,/MachineId:Field,blob,1,16,16,16.000,-
12,2491,0x0004,OUT,/TokenA:Int32,num,1,125005624,125005624,125005624.000,125005624:1
12,2491,0x0004,OUT,/TokenB:Int32,num,1,154597930,154597930,154597930.000,154597930:1
12,2491,0x0005,IN,/Key:Int32,num,1,50556,50556,50556.000,50556:1
12,2491,0x0005,IN,/Unknown:Int32,num,1,1,1,1.000,1:1
12,2491,0x0005,IN,/function:Byte,num,1,0,0,0.000,0:1
12,2491,0x0005,IN,SomeKey/SomeKey:Field,blob,1,35,35,35.000,-
12,2491,0x0005,IN,SomeKey/size:Int16,num,1,35,35,35.000,35:1
12,2491,0x0006,IN,/unknown:Int32,num,2,157,278,217.500,157:1|278:1
2486,2491,0x0006,IN,/ping:Int32,num,2,157,278,217.500,157:1|278:1
2486,2491,0x0006,OUT,/ping:Int32,num,2,641,729,685.000,641:1|729:1
12,2491,0x000B,OUT,/Sequence:Int32,num,10,56,65,60.500,56:1|57:1|58:1|59:1|60:1|61:1|62:1|63:1|64:1|65:1
12,2491,0x000C,OUT,/ClientTicks:Int32,num,1,385178,385178,385178.000,385178:1
12,2491,0x000C,OUT,/ServerTicks:Int32,num,1,1012377603,1012377603,1012377603.000,1012377603:1
12,2491,0x000D,IN,/message:Byte,num,1,0,0,0.000,0:1
12,2491,0x0011,IN,/ServerTick:Int32,num,11,1012377601,1012393118,1012385328.364,1012377601:1|1012378208:1|1012380646:1|1012382285:1|1012384018:1|1012385632:1|1012386961:1|1012388453:1|1012390120:1|1012391570:1|1012393118:1
12,2491,0x0011,IN,/TimeOffset:Int32,num,11,-32400,-32400,-32400.000,-32400:11
12,2491,0x0011,IN,/Timestamp:Int64,num,12,1611592406,1611592422,1611592413.333,1611592406:2|1611592407:1|1611592409:1|1611592411:1|1611592413:1|1611592414:1|1611592416:1|1611592417:1|1611592419:1|1611592420:1|1611592422:1
12,2491,0x0011,IN,/Timezone:Byte,num,11,0,0,0.000,0:11
12,2491,0x0011,IN,/function:Byte,num,21,0,3,1.048,0:10|2:9|1:1|3:1
12,2491,0x0011,IN,/key:Int32,num,10,56,65,60.500,56:1|57:1|58:1|59:1|60:1|61:1|62:1|63:1|64:1|65:1
12,2491,0x0012,OUT,/ClientTicks:Int32,num,320,388415,401077,392585.250,~other:256|388415:1|389201:1|389631:1|389639:1|389648:1|389657:1|389666:1|389675:1|389685:1|389693:1|389702:1|389711:1|389720:1|389729:1|389739:1|389747:1|389756:1|389765:1|389774:1|389783:1|389793:1|389801:1|389810:1|389819:1|389828:1|389837:1|389846:1|389855:1|389864:1|389873:1|389881:1|389891:1|389901:1|389909:1|389918:1|389927:1|389935:1|389945:1|389955:1|389962:1|389972:1|389980:1|389989:1|389997:1|390008:1|390016:1|390025:1|390034:1|390043:1|390052:1|390062:1|390070:1|390079:1|390088:1|390097:1|390106:1|390117:1|390125:1|390134:1|390143:1|390152:1|390161:1|390170:1|390178:1
12,2491,0x0012,OUT,/Function:Byte,num,320,0,1,0.009,0:317|1:3
