source_build,target_build,opcode,direction,seen,n,ok_exact,under_read,over_read,threw,consumed_p50,consumed_p90,home_n,home_over_read,home_p50,over_sigs,home_over_sigs,ks_vs_home,script_sha,env_sha,quality,state,reason,invariants,rule_version,sampling
2512,12,0x0020,OUT,71106,1500,1496,4,0,0,100,100,1500,0,100,-,-,0.059,6d8b0777422d,6cdba8ccbaff,USEFUL,accept,,suspect,3.1.0-quarantine,reservoir;n=1500;seed=1
2511,12,0x0021,IN,47423,1500,0,1492,4,4,17,20,906,16,0,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [StatType:Int16]:2|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [IntegerValue:Int32]:1|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [FloatValue:Single]:1,PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [FloatValue:Single]:6|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [BoundToName:Field]:5|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [BoundToCharId:Int64]:3|PastEnd: Read<Boolean>: wanted # byte(s) at offset #; only # of # remain @  [unlocked socket:Boolean]:1|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Int32]:1,0.194,1b1236b38a15,e531069fb1f2,STUB,reject,over_read=4; NEW failure mode vs home,-,3.1.0-quarantine,reservoir;n=1500;seed=1
2525,12,0x0021,IN,47423,1500,0,1490,6,4,17,20,217,1,17,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [IntegerValue:Int32]:4|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [StatType:Int16]:2,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [IntegerValue:Int32]:1,0.081,cfbd884737a3,e531069fb1f2,STUB,reject,over_read=6; NEW failure mode vs home,-,3.1.0-quarantine,reservoir;n=1500;seed=1
2529,12,0x0021,IN,47423,1500,0,1490,6,4,17,20,765,0,17,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [IntegerValue:Int32]:4|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [StatType:Int16]:2,-,0.305,cfbd884737a3,e531069fb1f2,STUB,reject,over_read=6; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2546,12,0x0021,IN,47423,1500,0,1490,6,4,17,20,1500,0,17,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [IntegerValue:Int32]:4|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [StatType:Int16]:2,-,0.121,cfbd884737a3,750b3e3c91cc,STUB,reject,over_read=6; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2549,12,0x0021,IN,47423,1500,0,1490,6,4,17,20,1500,0,0,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [IntegerValue:Int32]:4|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [StatType:Int16]:2,-,0.341,cfbd884737a3,750b3e3c91cc,STUB,reject,over_read=6; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2550,12,0x0021,IN,47423,1500,0,1490,6,4,17,20,396,0,0,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [IntegerValue:Int32]:4|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [StatType:Int16]:2,-,0.338,cfbd884737a3,750b3e3c91cc,STUB,reject,over_read=6; NEW failure mode vs home (no home signature data),-,3.1.0-quarantine,reservoir;n=1500;seed=1
2486,12,0x0023,IN,559439,1500,2,1498,0,0,14,14,1500,0,16,-,-,0.786,ebb2ab2949d5,e531069fb1f2,STUB,reject,consumed KS=0.786 > 0.2 vs home,-,3.1.0-quarantine,reservoir;n=1500;seed=1
2502,12,0x0023,IN,559439,1500,2,1498,0,0,9,9,1500,0,11,-,-,0.978,89c9b48525c2,e531069fb1f2,STUB,reject,consumed KS=0.978 > 0.2 vs home,-,3.1.0-quarantine,reservoir;n=1500;seed=1
2502,12,0x0024,IN,834364,1500,1287,213,0,0,100,100,1500,0,100,-,-,0.131,a88fbaa9b811,e531069fb1f2,USEFUL,accept,,suspect,3.1.0-quarantine,reservoir;n=1500;seed=1
2507,12,0x0024,IN,834364,1500,1287,213,0,0,100,100,1500,0,100,-,-,0.132,a88fbaa9b811,e531069fb1f2,USEFUL,accept,,suspect,3.1.0-quarantine,reservoir;n=1500;seed=1
2502,12,0x0025,OUT,64,64,30,34,0,0,0,100,4,0,100,-,-,0.281,035035c631af,e531069fb1f2,STUB,insufficient,n=64 < floor 300,-,3.1.0-quarantine,reservoir;n=1500;seed=1
2530,12,0x002B,IN,2718,1500,0,661,839,0,100,100,3,3,99,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [IntegerValue:Int32]:797|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [BoundToCharId:Int64]:31|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [StatType:Int16]:7|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [FloatValue:Single]:3|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Remaining Repackage Count:Int32]:1,PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [FloatValue:Single]:3,0.441,3c9bd7749e3a,6fcac0922e9d,USEFUL,reject,over_read=839; NEW failure mode vs home,-,3.1.0-quarantine,reservoir;n=1500;seed=1
