source_build,target_build,opcode,direction,seen,executed,ran,no_script,ok_exact,under_read,over_read,threw,compile_error,negative_length,consumed_p50,consumed_p90,script_sha,env_sha,consumed_hist,sampling,over_sigs
12,2528,0x0001,IN,2,2,2,0,2,0,0,0,0,0,100,100,7f8c78029510,d7b7fc65329f,100:2,reservoir;n=1500;seed=1,-
12,2528,0x0001,OUT,2,2,2,0,2,0,0,0,0,0,100,100,c024851cf5a7,d7b7fc65329f,100:2,reservoir;n=1500;seed=1,-
12,2528,0x0004,IN,2,2,2,0,2,0,0,0,0,0,100,100,8ceb5dea67ee,d7b7fc65329f,100:2,reservoir;n=1500;seed=1,-
12,2528,0x0004,OUT,2,2,2,0,2,0,0,0,0,0,100,100,6f95cf27934c,d7b7fc65329f,100:2,reservoir;n=1500;seed=1,-
12,2528,0x0005,IN,2,2,2,0,2,0,0,0,0,0,100,100,904ae535cf82,d7b7fc65329f,100:2,reservoir;n=1500;seed=1,-
12,2528,0x0006,IN,20,20,20,0,20,0,0,0,0,0,100,100,1259343bcd4e,d7b7fc65329f,100:20,reservoir;n=1500;seed=1,-
2486,2528,0x0006,IN,20,20,20,0,20,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:20,reservoir;n=1500;seed=1,-
2486,2528,0x0006,OUT,20,20,20,0,20,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:20,reservoir;n=1500;seed=1,-
12,2528,0x000B,OUT,73,73,73,0,73,0,0,0,0,0,100,100,0bfa8a381791,d7b7fc65329f,100:73,reservoir;n=1500;seed=1,-
12,2528,0x000C,OUT,2,2,2,0,2,0,0,0,0,0,100,100,03af1cb1cb9c,d7b7fc65329f,100:2,reservoir;n=1500;seed=1,-
12,2528,0x000D,IN,2,2,2,0,2,0,0,0,0,0,100,100,b3dc9594248c,d7b7fc65329f,100:2,reservoir;n=1500;seed=1,-
-,2528,0x000E,OUT,2,2,0,2,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
-,2528,0x000F,OUT,2,2,0,2,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
-,2528,0x0010,OUT,2,2,0,2,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2528,0x0011,IN,148,148,148,0,77,71,0,0,0,0,100,100,ea7aa50be9ac,d7b7fc65329f,6:71|100:77,reservoir;n=1500;seed=1,-
