source_build,target_build,opcode,direction,field_key,kind,n,min,max,mean,values
12,2496,0x0001,IN,/Block Initializing Vector (IV):Field,blob,7,4,4,4.000,-
12,2496,0x0001,IN,/Local Initializing Vector (IV):Field,blob,7,4,4,4.000,-
12,2496,0x0001,IN,/MapleStory# Version:Field,blob,7,4,4,4.000,-
12,2496,0x0001,IN,/Opcode:Int16,num,7,1,1,1.000,1:7
12,2496,0x0001,IN,/Packet Length:Field,blob,7,4,4,4.000,-
12,2496,0x0001,IN,/Patch Type:Byte,num,7,2,2,2.000,2:7
12,2496,0x0001,IN,/Raw Sequence:Int16,num,7,-25546,32506,2051.429,-10363:1|-16434:1|-18073:1|-25546:1|20044:1|32226:1|32506:1
12,2496,0x0001,IN,/Remote Initializing Vector (IV):Field,blob,7,4,4,4.000,-
12,2496,0x0001,OUT,/Locale?:Int16,num,7,0,0,0.000,0:7
12,2496,0x0001,OUT,/Unknown:Int16,num,7,71,71,71.000,71:7
12,2496,0x0001,OUT,/Version:Int32,num,7,2496,2496,2496.000,2496:7
12,2496,0x0004,OUT,/AccountId:Int64,num,7,2124430,2.6008600892048963E+18,2229246703227166720.000,2600858682922372473:2|2600860089204896344:2|2124430:1|2600437296747394026:1|2600852081586107936:1
12,2496,0x0004,OUT,/MachineId:Field,blob,7,16,16,16.000,-
12,2496,0x0004,OUT,/TokenA:Int32,num,7,17955462,956725192,431667982.143,17955462:1|212891364:1|283888266:1|403468800:1|406370601:1|740376190:1|956725192:1
12,2496,0x0004,OUT,/TokenB:Int32,num,7,6163500,256269219,81679805.571,130713576:1|14046315:1|256269219:1|46486818:1|46657605:1|6163500:1|71421606:1
12,2496,0x0005,IN,/Key:Int32,num,13,4794,1405557,821759.308,1405557:4|1014678:2|361281:2|893370:2|254167:1|263024:1|4794:1
12,2496,0x0005,IN,/Unknown:Int32,num,13,1,2,1.077,1:12|2:1
12,2496,0x0005,IN,/function:Byte,num,13,0,0,0.000,0:13
12,2496,0x0005,IN,SomeKey/SomeKey:Field,blob,13,34,36,35.154,-
12,2496,0x0005,IN,SomeKey/size:Int16,num,13,34,36,35.154,35:5|36:5|34:3
12,2496,0x0006,IN,/unknown:Int32,num,207,13,2988,1742.034,~other:141|16:2|2290:2|1133:1|1250:1|1256:1|1260:1|1272:1|1282:1|1291:1|13:1|1302:1|1312:1|1322:1|1332:1|1344:1|1354:1|1363:1|1373:1|1383:1|1393:1|1403:1|1413:1|1423:1|1436:1|1445:1|1455:1|1465:1|1474:1|1484:1|1494:1|1503:1|1513:1|1539:1|18:1|1826:1|189:1|2072:1|21:1|2544:1|28:1|2828:1|2840:1|2850:1|2859:1|2870:1|2880:1|2890:1|2900:1|2912:1|2922:1|2934:1|2944:1|2955:1|2966:1|2977:1|2988:1|36:1|39:1|405:1|49:1|680:1|696:1|72:1|942:1
2486,2496,0x0006,IN,/ping:Int32,num,207,13,2988,1742.034,~other:141|16:2|2290:2|1133:1|1250:1|1256:1|1260:1|1272:1|1282:1|1291:1|13:1|1302:1|1312:1|1322:1|1332:1|1344:1|1354:1|1363:1|1373:1|1383:1|1393:1|1403:1|1413:1|1423:1|1436:1|1445:1|1455:1|1465:1|1474:1|1484:1|1494:1|1503:1|1513:1|1539:1|18:1|1826:1|189:1|2072:1|21:1|2544:1|28:1|2828:1|2840:1|2850:1|2859:1|2870:1|2880:1|2890:1|2900:1|2912:1|2922:1|2934:1|2944:1|2955:1|2966:1|2977:1|2988:1|36:1|39:1|405:1|49:1|680:1|696:1|72:1|942:1
