source_build,target_build,opcode,direction,quality,edge_n,n_fields_compared,n_flagged,worst_check,worst_severity,verdict
2507,2496,0x0024,IN,USEFUL,1500,5,1,dist_diverge,medium,suspect
2528,2496,0x002E,IN,USEFUL,397,3,2,dist_diverge,high,suspect
2521,2496,0x0058,IN,USEFUL,1500,14,2,dist_diverge,high,suspect
2527,2496,0x0058,IN,USEFUL,1500,15,5,dist_diverge,high,suspect
12,2500,0x0024,IN,USEFUL,1468,5,1,dist_diverge,high,suspect
2502,2500,0x0024,IN,USEFUL,1468,5,0,-,-,pass
2507,2500,0x0024,IN,USEFUL,1468,5,1,dist_diverge,high,suspect
12,2502,0x0006,IN,USEFUL,428,1,0,-,-,insufficient-fields
2486,2502,0x0006,IN,USEFUL,428,1,0,-,-,insufficient-fields
2486,2502,0x0006,OUT,USEFUL,427,1,0,-,-,insufficient-fields
12,2502,0x000B,OUT,USEFUL,1500,1,0,-,-,insufficient-fields
12,2502,0x0011,IN,USEFUL,1500,6,1,dist_diverge,high,suspect
12,2502,0x0020,OUT,USEFUL,469,13,6,dist_diverge,high,suspect
2512,2502,0x0020,OUT,USEFUL,469,13,7,dist_diverge,high,suspect
12,2502,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2507,2502,0x0024,IN,USEFUL,1500,5,0,-,-,pass
2520,2502,0x003D,IN,STUB,1500,1,0,-,-,insufficient-fields
2506,2502,0x005E,IN,USEFUL,623,11,0,-,-,pass
2529,2502,0x0075,IN,USEFUL,563,13,5,dist_diverge,high,suspect
12,2503,0x0006,IN,USEFUL,450,1,0,-,-,insufficient-fields
2486,2503,0x0006,IN,USEFUL,450,1,0,-,-,insufficient-fields
2486,2503,0x0006,OUT,USEFUL,450,1,0,-,-,insufficient-fields
12,2503,0x000B,OUT,USEFUL,1500,1,0,-,-,insufficient-fields
12,2503,0x0011,IN,USEFUL,1500,6,1,dist_diverge,high,suspect
12,2503,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2503,0x0024,IN,USEFUL,1500,5,0,-,-,pass
2507,2503,0x0024,IN,USEFUL,1500,5,0,-,-,pass
2506,2503,0x005E,IN,USEFUL,375,11,0,-,-,pass
12,2504,0x000B,OUT,USEFUL,691,1,0,-,-,insufficient-fields
12,2504,0x0011,IN,USEFUL,1390,6,1,dist_diverge,high,suspect
12,2504,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2504,0x0024,IN,USEFUL,1500,5,0,-,-,pass
2507,2504,0x0024,IN,USEFUL,1500,5,0,-,-,pass
2506,2504,0x003C,IN,PARTIAL,372,0,0,-,-,insufficient-fields
2507,2504,0x003C,IN,USEFUL,372,1,0,-,-,insufficient-fields
2512,2504,0x003C,IN,USEFUL,372,17,7,dist_diverge,high,suspect
2520,2504,0x003C,IN,USEFUL,372,0,0,-,-,insufficient-fields
2506,2504,0x005E,IN,USEFUL,307,11,0,-,-,pass
12,2506,0x0006,IN,USEFUL,430,1,0,-,-,insufficient-fields
2486,2506,0x0006,IN,USEFUL,430,1,0,-,-,insufficient-fields
2486,2506,0x0006,OUT,USEFUL,428,1,0,-,-,insufficient-fields
12,2506,0x000B,OUT,USEFUL,1500,1,0,-,-,insufficient-fields
12,2506,0x0011,IN,USEFUL,1500,6,1,dist_diverge,high,suspect
2549,2506,0x0021,IN,STUB,1431,1,0,-,-,insufficient-fields
2550,2506,0x0021,IN,STUB,1431,1,0,-,-,insufficient-fields
2502,2506,0x0023,IN,STUB,1500,6,0,-,-,pass
12,2506,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2506,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2507,2506,0x0024,IN,USEFUL,1500,5,0,-,-,pass
2528,2506,0x002E,IN,USEFUL,995,3,2,dist_diverge,high,suspect
2521,2506,0x0058,IN,USEFUL,1500,14,3,dist_diverge,high,suspect
2527,2506,0x0058,IN,USEFUL,1500,15,5,dist_diverge,high,suspect
12,2507,0x0006,IN,USEFUL,666,1,0,-,-,insufficient-fields
2486,2507,0x0006,IN,USEFUL,666,1,0,-,-,insufficient-fields
2486,2507,0x0006,OUT,USEFUL,665,1,0,-,-,insufficient-fields
12,2507,0x000B,OUT,USEFUL,1500,1,0,-,-,insufficient-fields
12,2507,0x0011,IN,USEFUL,1500,6,1,dist_diverge,high,suspect
2502,2507,0x0023,IN,STUB,1500,6,0,-,-,pass
12,2507,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2507,0x0024,IN,USEFUL,1500,5,0,-,-,pass
2521,2507,0x0055,IN,USEFUL,525,18,7,count_neg,high,suspect
2521,2507,0x0058,IN,USEFUL,1500,14,1,dist_diverge,medium,suspect
2527,2507,0x0058,IN,USEFUL,1500,15,7,dist_diverge,high,suspect
2506,2507,0x005E,IN,USEFUL,896,11,0,-,-,pass
12,2509,0x0024,IN,USEFUL,1415,5,1,dist_diverge,high,suspect
2502,2509,0x0024,IN,USEFUL,1415,5,0,-,-,pass
2507,2509,0x0024,IN,USEFUL,1415,5,1,dist_diverge,high,suspect
2527,2509,0x0058,IN,USEFUL,509,15,6,dist_diverge,high,suspect
12,2511,0x000B,OUT,USEFUL,1137,1,0,-,-,insufficient-fields
12,2511,0x0011,IN,USEFUL,1500,6,1,dist_diverge,high,suspect
2549,2511,0x0021,IN,STUB,906,1,0,-,-,insufficient-fields
2550,2511,0x0021,IN,STUB,906,1,0,-,-,insufficient-fields
2502,2511,0x0023,IN,STUB,1500,6,0,-,-,pass
12,2511,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2502,2511,0x0024,IN,USEFUL,1500,5,1,dist_diverge,high,suspect
2507,2511,0x0024,IN,USEFUL,1500,5,1,dist_diverge,medium,suspect
12,2512,0x0006,IN,USEFUL,1500,1,0,-,-,insufficient-fields
