source_build,target_build,opcode,direction,field_key,kind,n,min,max,mean,values
12,2525,0x0001,IN,/Block Initializing Vector (IV):Field,blob,5,4,4,4.000,-
12,2525,0x0001,IN,/Local Initializing Vector (IV):Field,blob,5,4,4,4.000,-
12,2525,0x0001,IN,/MapleStory# Version:Field,blob,5,4,4,4.000,-
12,2525,0x0001,IN,/Opcode:Int16,num,5,1,1,1.000,1:5
12,2525,0x0001,IN,/Packet Length:Field,blob,5,4,4,4.000,-
12,2525,0x0001,IN,/Patch Type:Byte,num,5,0,2,1.600,2:4|0:1
12,2525,0x0001,IN,/Raw Sequence:Int16,num,5,-22869,16685,-6645.400,-11301:1|-22869:1|-5948:1|-9794:1|16685:1
12,2525,0x0001,IN,/Remote Initializing Vector (IV):Field,blob,5,4,4,4.000,-
12,2525,0x0001,OUT,/Locale?:Int16,num,5,0,0,0.000,0:5
12,2525,0x0001,OUT,/Unknown:Int16,num,5,78,99,86.400,78:3|99:2
12,2525,0x0001,OUT,/Version:Int32,num,5,2525,2525,2525.000,2525:5
12,2525,0x0003,OUT,/machineId:Field,blob,1,16,16,16.000,-
12,2525,0x0003,OUT,/mode:Byte,num,1,2,2,2.000,2:1
12,2525,0x0003,OUT,/sessionKey:Int32,num,1,0,0,0.000,0:1
12,2525,0x0003,OUT,/sub_#D#(CMachineIDManagerPtr):Int32,num,1,0,0,0.000,0:1
12,2525,0x0003,OUT,/unknown:Int16,num,1,1,1,1.000,1:1
12,2525,0x0003,OUT,locale/locale:Field,blob,1,2,2,2.000,-
12,2525,0x0003,OUT,locale/size:Int16,num,1,2,2,2.000,2:1
12,2525,0x0003,OUT,password/password:Field,blob,1,0,0,0.000,-
12,2525,0x0003,OUT,password/size:Int16,num,1,0,0,0.000,0:1
12,2525,0x0003,OUT,username/size:Int16,num,1,2,2,2.000,2:1
12,2525,0x0003,OUT,username/username:Field,blob,1,4,4,4.000,-
12,2525,0x0004,OUT,/AccountId:Int64,num,4,10000000000,2.6008572380995195E+18,1950640352817933824.000,2600852081586107936:2|10000000000:1|2600857238099519690:1
12,2525,0x0004,OUT,/MachineId:Field,blob,4,16,16,16.000,-
12,2525,0x0004,OUT,/TokenA:Int32,num,4,102354120,716628411,303953259.250,102354120:1|192581403:1|204249103:1|716628411:1
