source_build,target_build,opcode,direction,seen,executed,ran,no_script,ok_exact,under_read,over_read,threw,compile_error,negative_length,consumed_p50,consumed_p90,script_sha,env_sha,consumed_hist,sampling,over_sigs
12,2514,0x0001,IN,1,1,1,0,1,0,0,0,0,0,100,100,7f8c78029510,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2514,0x0001,OUT,1,1,1,0,1,0,0,0,0,0,100,100,c024851cf5a7,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2514,0x0004,IN,1,1,1,0,1,0,0,0,0,0,100,100,8ceb5dea67ee,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2514,0x0004,OUT,1,1,1,0,1,0,0,0,0,0,100,100,6f95cf27934c,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2514,0x0005,IN,1,1,1,0,1,0,0,0,0,0,100,100,904ae535cf82,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2514,0x0006,IN,9,9,9,0,9,0,0,0,0,0,100,100,1259343bcd4e,d7b7fc65329f,100:9,reservoir;n=1500;seed=1,-
2486,2514,0x0006,IN,9,9,9,0,9,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:9,reservoir;n=1500;seed=1,-
2486,2514,0x0006,OUT,9,9,9,0,9,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:9,reservoir;n=1500;seed=1,-
12,2514,0x000B,OUT,29,29,29,0,29,0,0,0,0,0,100,100,0bfa8a381791,d7b7fc65329f,100:29,reservoir;n=1500;seed=1,-
12,2514,0x000C,OUT,1,1,1,0,1,0,0,0,0,0,100,100,03af1cb1cb9c,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2514,0x000D,IN,1,1,1,0,1,0,0,0,0,0,100,100,b3dc9594248c,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
-,2514,0x000E,OUT,1,1,0,1,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
-,2514,0x000F,OUT,1,1,0,1,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
-,2514,0x0010,OUT,1,1,0,1,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2514,0x0011,IN,59,59,59,0,31,28,0,0,0,0,100,100,ea7aa50be9ac,d7b7fc65329f,6:28|100:31,reservoir;n=1500;seed=1,-
-,2514,0x0011,OUT,3,3,0,3,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
