source_build,target_build,opcode,direction,seen,executed,ran,no_script,ok_exact,under_read,over_read,threw,compile_error,negative_length,consumed_p50,consumed_p90,script_sha,env_sha,consumed_hist,sampling,over_sigs
12,2522,0x0001,IN,3,3,3,0,3,0,0,0,0,0,100,100,7f8c78029510,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,-
12,2522,0x0001,OUT,3,3,3,0,3,0,0,0,0,0,100,100,c024851cf5a7,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,-
12,2522,0x0004,IN,3,3,3,0,3,0,0,0,0,0,100,100,8ceb5dea67ee,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,-
12,2522,0x0004,OUT,3,3,3,0,3,0,0,0,0,0,100,100,6f95cf27934c,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,-
12,2522,0x0005,IN,6,6,6,0,6,0,0,0,0,0,100,100,904ae535cf82,d7b7fc65329f,100:6,reservoir;n=1500;seed=1,-
12,2522,0x0006,IN,87,87,87,0,87,0,0,0,0,0,100,100,1259343bcd4e,d7b7fc65329f,100:87,reservoir;n=1500;seed=1,-
2486,2522,0x0006,IN,87,87,87,0,87,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:87,reservoir;n=1500;seed=1,-
2486,2522,0x0006,OUT,87,87,87,0,87,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:87,reservoir;n=1500;seed=1,-
12,2522,0x000B,OUT,500,500,500,0,500,0,0,0,0,0,100,100,0bfa8a381791,d7b7fc65329f,100:500,reservoir;n=1500;seed=1,-
12,2522,0x000C,OUT,3,3,3,0,3,0,0,0,0,0,100,100,03af1cb1cb9c,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,-
12,2522,0x000D,IN,3,3,3,0,3,0,0,0,0,0,100,100,b3dc9594248c,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,-
-,2522,0x000E,OUT,3,3,0,3,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
-,2522,0x000F,OUT,3,3,0,3,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
-,2522,0x0010,OUT,3,3,0,3,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2522,0x0011,IN,1003,1003,1003,0,505,498,0,0,0,0,100,100,ea7aa50be9ac,d7b7fc65329f,6:498|100:505,reservoir;n=1500;seed=1,-
-,2522,0x0011,OUT,32,32,0,32,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2522,0x0012,OUT,1245,1245,1245,0,0,0,1245,0,0,177,100,100,00eac5549f4f,d7b7fc65329f,54:4|57:2|62:1|74:1|85:23|95:556|100:658,reservoir;n=1500;seed=1,PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [Z:Single]:616|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [UnknownStr:Field]:200|NegativeLength: ReadBytes: negative length -# at offset #/# @  [UnknownStr:Field]:154|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [X:Single]:139|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Int32]:70|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [AnimationString?:Field]:28|NegativeLength: ReadBytes: negative length -# at offset #/# @  [AnimationString?:Field]:23|PastEnd: Read<Byte>: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Byte]:9|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ServerTick:Int32]:6
12,2522,0x0013,IN,3,3,3,0,3,0,0,0,0,0,100,100,ec8c9b43cd49,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,-
12,2522,0x0014,IN,3,3,3,0,3,0,0,0,0,0,100,100,707e661c62cd,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,-
12,2522,0x0015,IN,3,3,3,0,0,0,3,0,0,0,100,100,3bbd77e4fb7a,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [MapId:Int32]:3
2507,2522,0x0015,IN,3,3,3,0,3,0,0,0,0,0,100,100,afce9e0e791b,e531069fb1f2,100:3,reservoir;n=1500;seed=1,-
12,2522,0x0016,IN,3,3,3,0,3,0,0,0,0,0,100,100,bd0753bb66c6,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,-
2546,2522,0x0016,IN,3,3,3,0,3,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:3,reservoir;n=1500;seed=1,-
2549,2522,0x0016,IN,3,3,3,0,3,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:3,reservoir;n=1500;seed=1,-
2550,2522,0x0016,IN,3,3,3,0,3,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:3,reservoir;n=1500;seed=1,-
12,2522,0x0017,IN,8,8,8,0,0,0,8,0,0,0,100,100,773c805d2d0c,d7b7fc65329f,63:2|66:1|100:5,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Player+#B#:Int64]:5|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Profile Url:Field]:3
2500,2522,0x0017,IN,8,8,8,0,0,8,0,0,0,0,0,0,5f2e5359199a,e531069fb1f2,0:8,reservoir;n=1500;seed=1,-
2503,2522,0x0017,IN,8,8,8,0,0,3,5,0,0,0,100,100,e6752d96b9a6,e531069fb1f2,10:3|100:5,reservoir;n=1500;seed=1,PastEnd: Read<Boolean>: wanted # byte(s) at offset #; only # of # remain @  [leaned:Boolean]:5
2528,2522,0x0017,IN,8,8,8,0,0,0,8,0,0,0,100,100,a3115547491e,c7184ede6835,14:2|15:1|100:5,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Player+#B#:Int64]:5|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Buffer:Field]:3
2550,2522,0x0017,IN,8,8,8,0,0,0,8,0,0,0,100,100,a3115547491e,750b3e3c91cc,63:2|66:1|100:5,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Player+#B#:Int64]:5|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Profile Url:Field]:3
12,2522,0x0018,IN,2,2,2,0,2,0,0,0,0,0,100,100,1026c3540aad,d7b7fc65329f,100:2,reservoir;n=1500;seed=1,-
12,2522,0x0019,IN,6,6,6,0,6,0,0,0,0,0,100,100,81ad6936565e,d7b7fc65329f,100:6,reservoir;n=1500;seed=1,-
2500,2522,0x0019,IN,6,6,6,0,6,0,0,0,0,0,100,100,2eb6d169688e,e531069fb1f2,100:6,reservoir;n=1500;seed=1,-
12,2522,0x001A,IN,6,6,6,0,3,1,2,0,0,0,100,100,30430a5d3899,d7b7fc65329f,14:1|100:5,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [arg:Int32]:2
