source_build,target_build,opcode,direction,seen,executed,ran,no_script,ok_exact,under_read,over_read,threw,compile_error,negative_length,consumed_p50,consumed_p90,script_sha,env_sha,consumed_hist,sampling
12,2497,0x0001,IN,2,2,2,0,2,0,0,0,0,0,100,100,7f8c78029510,d7b7fc65329f,100:2,reservoir;n=1500;seed=1
12,2497,0x0001,OUT,2,2,2,0,2,0,0,0,0,0,100,100,c024851cf5a7,d7b7fc65329f,100:2,reservoir;n=1500;seed=1
12,2497,0x0004,IN,2,2,2,0,2,0,0,0,0,0,100,100,8ceb5dea67ee,d7b7fc65329f,100:2,reservoir;n=1500;seed=1
12,2497,0x0004,OUT,2,2,2,0,2,0,0,0,0,0,100,100,6f95cf27934c,d7b7fc65329f,100:2,reservoir;n=1500;seed=1
12,2497,0x0005,IN,3,3,3,0,3,0,0,0,0,0,100,100,904ae535cf82,d7b7fc65329f,100:3,reservoir;n=1500;seed=1
12,2497,0x0006,IN,3,3,3,0,3,0,0,0,0,0,100,100,1259343bcd4e,d7b7fc65329f,100:3,reservoir;n=1500;seed=1
2486,2497,0x0006,IN,3,3,3,0,3,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:3,reservoir;n=1500;seed=1
2486,2497,0x0006,OUT,3,3,3,0,3,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:3,reservoir;n=1500;seed=1
12,2497,0x000B,OUT,10,10,10,0,10,0,0,0,0,0,100,100,0bfa8a381791,d7b7fc65329f,100:10,reservoir;n=1500;seed=1
12,2497,0x000C,OUT,2,2,2,0,2,0,0,0,0,0,100,100,03af1cb1cb9c,d7b7fc65329f,100:2,reservoir;n=1500;seed=1
12,2497,0x000D,IN,2,2,2,0,2,0,0,0,0,0,100,100,b3dc9594248c,d7b7fc65329f,100:2,reservoir;n=1500;seed=1
-,2497,0x000E,OUT,2,2,0,2,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1
-,2497,0x000F,OUT,2,2,0,2,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1
12,2497,0x0010,IN,1,1,1,0,1,0,0,0,0,0,100,100,aa9463bb9345,d7b7fc65329f,100:1,reservoir;n=1500;seed=1
