source_build,target_build,opcode,direction,seen,executed,ran,no_script,ok_exact,under_read,over_read,threw,compile_error,negative_length,consumed_p50,consumed_p90,script_sha,env_sha,consumed_hist,sampling,over_sigs
12,2517,0x0001,IN,1,1,1,0,1,0,0,0,0,0,100,100,7f8c78029510,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2517,0x0001,OUT,1,1,1,0,1,0,0,0,0,0,100,100,c024851cf5a7,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2517,0x0004,IN,1,1,1,0,1,0,0,0,0,0,100,100,8ceb5dea67ee,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2517,0x0004,OUT,1,1,1,0,1,0,0,0,0,0,100,100,6f95cf27934c,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2517,0x0005,IN,1,1,1,0,1,0,0,0,0,0,100,100,904ae535cf82,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2517,0x0006,IN,4,4,4,0,4,0,0,0,0,0,100,100,1259343bcd4e,d7b7fc65329f,100:4,reservoir;n=1500;seed=1,-
2486,2517,0x0006,IN,4,4,4,0,4,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:4,reservoir;n=1500;seed=1,-
2486,2517,0x0006,OUT,4,4,4,0,4,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:4,reservoir;n=1500;seed=1,-
12,2517,0x000B,OUT,11,11,11,0,11,0,0,0,0,0,100,100,0bfa8a381791,d7b7fc65329f,100:11,reservoir;n=1500;seed=1,-
12,2517,0x000C,OUT,1,1,1,0,1,0,0,0,0,0,100,100,03af1cb1cb9c,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2517,0x000D,IN,1,1,1,0,1,0,0,0,0,0,100,100,b3dc9594248c,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
-,2517,0x000E,OUT,1,1,0,1,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
-,2517,0x000F,OUT,1,1,0,1,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
-,2517,0x0010,OUT,1,1,0,1,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2517,0x0011,IN,23,23,23,0,13,10,0,0,0,0,100,100,ea7aa50be9ac,d7b7fc65329f,6:10|100:13,reservoir;n=1500;seed=1,-
-,2517,0x0011,OUT,1,1,0,1,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2517,0x0012,OUT,212,212,212,0,0,0,212,0,0,47,95,100,00eac5549f4f,d7b7fc65329f,54:1|62:1|74:1|85:11|95:139|100:59,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Int32]:70|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [Z:Single]:40|NegativeLength: ReadBytes: negative length -# at offset #/# @  [UnknownStr:Field]:36|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [X:Single]:35|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [AnimationString?:Field]:13|NegativeLength: ReadBytes: negative length -# at offset #/# @  [AnimationString?:Field]:11|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ServerTick:Int32]:4|PastEnd: Read<Byte>: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Byte]:2|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [UnknownStr:Field]:1
12,2517,0x0013,IN,1,1,1,0,1,0,0,0,0,0,100,100,ec8c9b43cd49,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2517,0x0014,IN,1,1,1,0,1,0,0,0,0,0,100,100,707e661c62cd,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2517,0x0015,IN,1,1,1,0,0,0,1,0,0,0,100,100,3bbd77e4fb7a,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [MapId:Int32]:1
2507,2517,0x0015,IN,1,1,1,0,1,0,0,0,0,0,100,100,afce9e0e791b,e531069fb1f2,100:1,reservoir;n=1500;seed=1,-
12,2517,0x0016,IN,1,1,1,0,1,0,0,0,0,0,100,100,bd0753bb66c6,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
2546,2517,0x0016,IN,1,1,1,0,1,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:1,reservoir;n=1500;seed=1,-
2549,2517,0x0016,IN,1,1,1,0,1,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:1,reservoir;n=1500;seed=1,-
2550,2517,0x0016,IN,1,1,1,0,1,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:1,reservoir;n=1500;seed=1,-
12,2517,0x0017,IN,1,1,1,0,0,0,1,0,0,1,88,88,1d52865cb228,d7b7fc65329f,88:1,reservoir;n=1500;seed=1,NegativeLength: ReadBytes: negative length -# at offset #/# @  [Profile Url:Field]:1
2500,2517,0x0017,IN,1,1,1,0,0,1,0,0,0,0,0,0,5f2e5359199a,e531069fb1f2,0:1,reservoir;n=1500;seed=1,-
2503,2517,0x0017,IN,1,1,1,0,0,1,0,0,0,0,9,9,e6752d96b9a6,e531069fb1f2,9:1,reservoir;n=1500;seed=1,-
2528,2517,0x0017,IN,1,1,1,0,0,0,1,0,0,1,11,11,a3115547491e,c7184ede6835,11:1,reservoir;n=1500;seed=1,NegativeLength: ReadBytes: negative length -# at offset #/# @  [UUID:Field]:1
2550,2517,0x0017,IN,1,1,1,0,0,0,1,0,0,1,88,88,a3115547491e,750b3e3c91cc,88:1,reservoir;n=1500;seed=1,NegativeLength: ReadBytes: negative length -# at offset #/# @  [Profile Url:Field]:1
12,2517,0x0019,IN,2,2,2,0,2,0,0,0,0,0,100,100,81ad6936565e,d7b7fc65329f,100:2,reservoir;n=1500;seed=1,-
2500,2517,0x0019,IN,2,2,2,0,2,0,0,0,0,0,100,100,2eb6d169688e,e531069fb1f2,100:2,reservoir;n=1500;seed=1,-
12,2517,0x001A,IN,2,2,2,0,1,1,0,0,0,0,3,100,30430a5d3899,d7b7fc65329f,3:1|100:1,reservoir;n=1500;seed=1,-
12,2517,0x001D,IN,1,1,1,0,1,0,0,0,0,0,100,100,73b8429f6c4a,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2517,0x001F,IN,1,1,1,0,0,1,0,0,0,0,62,62,e9ab09106d52,d7b7fc65329f,62:1,reservoir;n=1500;seed=1,-
12,2517,0x0021,IN,93,93,93,0,0,93,0,0,0,0,0,20,4a34cc581cd5,d7b7fc65329f,0:63|17:15|20:15,reservoir;n=1500;seed=1,-
2511,2517,0x0021,IN,93,93,93,0,0,93,0,0,0,0,0,20,1b1236b38a15,e531069fb1f2,0:63|17:15|20:15,reservoir;n=1500;seed=1,-
2525,2517,0x0021,IN,93,93,93,0,0,93,0,0,0,0,0,20,cfbd884737a3,e531069fb1f2,0:63|17:15|20:15,reservoir;n=1500;seed=1,-
2529,2517,0x0021,IN,93,93,93,0,0,93,0,0,0,0,0,20,cfbd884737a3,e531069fb1f2,0:63|17:15|20:15,reservoir;n=1500;seed=1,-
2546,2517,0x0021,IN,93,93,93,0,0,93,0,0,0,0,0,20,cfbd884737a3,750b3e3c91cc,0:63|17:15|20:15,reservoir;n=1500;seed=1,-
2549,2517,0x0021,IN,93,93,93,0,0,93,0,0,0,0,0,20,cfbd884737a3,750b3e3c91cc,0:63|17:15|20:15,reservoir;n=1500;seed=1,-
2550,2517,0x0021,IN,93,93,93,0,0,93,0,0,0,0,0,20,cfbd884737a3,750b3e3c91cc,0:63|17:15|20:15,reservoir;n=1500;seed=1,-
12,2517,0x0023,IN,127,127,127,0,3,0,124,0,0,0,100,100,c5e823fa4439,d7b7fc65329f,100:127,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [EnchantCharges:Int32]:124
2486,2517,0x0023,IN,127,127,127,0,2,125,0,0,0,0,17,17,ebb2ab2949d5,e531069fb1f2,17:124|20:1|100:2,reservoir;n=1500;seed=1,-
2502,2517,0x0023,IN,127,127,127,0,2,125,0,0,0,0,11,11,89c9b48525c2,e531069fb1f2,11:124|20:1|100:2,reservoir;n=1500;seed=1,-
12,2517,0x0024,IN,1413,1413,1413,0,1413,0,0,0,0,0,100,100,6954142e10b2,d7b7fc65329f,100:1413,reservoir;n=1500;seed=1,-
2502,2517,0x0024,IN,1413,1413,1413,0,1413,0,0,0,0,0,100,100,a88fbaa9b811,e531069fb1f2,100:1413,reservoir;n=1500;seed=1,-
2507,2517,0x0024,IN,1413,1413,1413,0,1413,0,0,0,0,0,100,100,a88fbaa9b811,e531069fb1f2,100:1413,reservoir;n=1500;seed=1,-
12,2517,0x002E,IN,4,4,4,0,0,4,0,0,0,0,2,2,eaec41421ddf,d7b7fc65329f,2:4,reservoir;n=1500;seed=1,-
2521,2517,0x002E,IN,4,4,4,0,4,0,0,0,0,0,100,100,7b2a027d574a,e531069fb1f2,100:4,reservoir;n=1500;seed=1,-
2528,2517,0x002E,IN,4,4,4,0,4,0,0,0,0,0,100,100,76f3b6c66124,c7184ede6835,100:4,reservoir;n=1500;seed=1,-
12,2517,0x0033,IN,1,1,1,0,0,1,0,0,0,0,33,33,22044483be09,d7b7fc65329f,33:1,reservoir;n=1500;seed=1,-
12,2517,0x0034,OUT,1,1,1,0,1,0,0,0,0,0,100,100,415ab669796a,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
12,2517,0x0035,IN,1,1,1,0,0,0,1,0,0,0,100,100,30b78ecbae74,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,PastEnd: Read<Byte>: wanted # byte(s) at offset #; only # of # remain @  [revival:Byte]:1
12,2517,0x0036,IN,1,1,1,0,0,1,0,0,0,0,80,80,f08404c32c83,d7b7fc65329f,80:1,reservoir;n=1500;seed=1,-
