source_build,target_build,opcode,direction,field_key,kind,n,min,max,mean,values
12,2527,0x0001,IN,/Block Initializing Vector (IV):Field,blob,1,4,4,4.000,-
12,2527,0x0001,IN,/Local Initializing Vector (IV):Field,blob,1,4,4,4.000,-
12,2527,0x0001,IN,/MapleStory# Version:Field,blob,1,4,4,4.000,-
12,2527,0x0001,IN,/Opcode:Int16,num,1,1,1,1.000,1:1
12,2527,0x0001,IN,/Packet Length:Field,blob,1,4,4,4.000,-
12,2527,0x0001,IN,/Patch Type:Byte,num,1,2,2,2.000,2:1
12,2527,0x0001,IN,/Raw Sequence:Int16,num,1,30969,30969,30969.000,30969:1
12,2527,0x0001,IN,/Remote Initializing Vector (IV):Field,blob,1,4,4,4.000,-
12,2527,0x0001,OUT,/Locale?:Int16,num,1,0,0,0.000,0:1
12,2527,0x0001,OUT,/Unknown:Int16,num,1,78,78,78.000,78:1
12,2527,0x0001,OUT,/Version:Int32,num,1,2527,2527,2527.000,2527:1
12,2527,0x0004,OUT,/AccountId:Int64,num,1,2.600852081586108E+18,2.600852081586108E+18,2600852081586107904.000,2600852081586107936:1
12,2527,0x0004,OUT,/MachineId:Field,blob,1,16,16,16.000,-
12,2527,0x0004,OUT,/TokenA:Int32,num,1,290148299,290148299,290148299.000,290148299:1
12,2527,0x0004,OUT,/TokenB:Int32,num,1,65250680,65250680,65250680.000,65250680:1
12,2527,0x0005,IN,/Key:Int32,num,1,8063,8063,8063.000,8063:1
12,2527,0x0005,IN,/Unknown:Int32,num,1,1,1,1.000,1:1
12,2527,0x0005,IN,/function:Byte,num,1,0,0,0.000,0:1
12,2527,0x0005,IN,SomeKey/SomeKey:Field,blob,1,36,36,36.000,-
12,2527,0x0005,IN,SomeKey/size:Int16,num,1,36,36,36.000,36:1
12,2527,0x0006,IN,/unknown:Int32,num,3,6,182,69.333,182:1|20:1|6:1
2486,2527,0x0006,IN,/ping:Int32,num,3,6,182,69.333,182:1|20:1|6:1
2486,2527,0x0006,OUT,/ping:Int32,num,3,1748,2372,2088.000,1748:1|2144:1|2372:1
12,2527,0x000B,OUT,/Sequence:Int32,num,9,72,80,76.000,72:1|73:1|74:1|75:1|76:1|77:1|78:1|79:1|80:1
12,2527,0x000C,OUT,/ClientTicks:Int32,num,1,202633,202633,202633.000,202633:1
