source_build,target_build,opcode,direction,field_key,kind,n,min,max,mean,values
12,2497,0x0001,IN,/Block Initializing Vector (IV):Field,blob,2,4,4,4.000,-
12,2497,0x0001,IN,/Local Initializing Vector (IV):Field,blob,2,4,4,4.000,-
12,2497,0x0001,IN,/MapleStory# Version:Field,blob,2,4,4,4.000,-
12,2497,0x0001,IN,/Opcode:Int16,num,2,1,1,1.000,1:2
12,2497,0x0001,IN,/Packet Length:Field,blob,2,4,4,4.000,-
12,2497,0x0001,IN,/Patch Type:Byte,num,2,2,2,2.000,2:2
12,2497,0x0001,IN,/Raw Sequence:Int16,num,2,-23810,9362,-7224.000,-23810:1|9362:1
12,2497,0x0001,IN,/Remote Initializing Vector (IV):Field,blob,2,4,4,4.000,-
12,2497,0x0001,OUT,/Locale?:Int16,num,2,0,0,0.000,0:2
12,2497,0x0001,OUT,/Unknown:Int16,num,2,71,71,71.000,71:2
12,2497,0x0001,OUT,/Version:Int32,num,2,2497,2497,2497.000,2497:2
12,2497,0x0004,OUT,/AccountId:Int64,num,2,2.600437296747394E+18,2.600437296747394E+18,2600437296747394048.000,2600437296747394026:2
12,2497,0x0004,OUT,/MachineId:Field,blob,2,16,16,16.000,-
12,2497,0x0004,OUT,/TokenA:Int32,num,2,231732806,293386968,262559887.000,231732806:1|293386968:1
12,2497,0x0004,OUT,/TokenB:Int32,num,2,645243,148067456,74356349.500,148067456:1|645243:1
12,2497,0x0005,IN,/Key:Int32,num,3,408,701,603.333,701:2|408:1
12,2497,0x0005,IN,/Unknown:Int32,num,3,1,2,1.333,1:2|2:1
12,2497,0x0005,IN,/function:Byte,num,3,0,0,0.000,0:3
12,2497,0x0005,IN,SomeKey/SomeKey:Field,blob,3,35,35,35.000,-
12,2497,0x0005,IN,SomeKey/size:Int16,num,3,35,35,35.000,35:3
12,2497,0x0006,IN,/unknown:Int32,num,3,9,25,15.000,11:1|25:1|9:1
2486,2497,0x0006,IN,/ping:Int32,num,3,9,25,15.000,11:1|25:1|9:1
2486,2497,0x0006,OUT,/ping:Int32,num,3,549,731,611.000,549:1|553:1|731:1
12,2497,0x000B,OUT,/Sequence:Int32,num,10,239,248,243.500,239:1|240:1|241:1|242:1|243:1|244:1|245:1|246:1|247:1|248:1
12,2497,0x000C,OUT,/ClientTicks:Int32,num,2,458790,471727,465258.500,458790:1|471727:1
12,2497,0x000C,OUT,/ServerTicks:Int32,num,2,118227274,118241130,118234202.000,118227274:1|118241130:1
12,2497,0x000D,IN,/message:Byte,num,2,0,0,0.000,0:2
12,2497,0x0010,IN,/IpAddress:Int32,num,1,645243,645243,645243.000,645243:1
12,2497,0x0010,IN,/MapId:Int32,num,1,1966148050,1966148050,1966148050.000,1966148050:1
12,2497,0x0010,IN,/MigrationToken:Int32,num,1,293386968,293386968,293386968.000,293386968:1
12,2497,0x0010,IN,/Port:Int16,num,1,-29315,-29315,-29315.000,-29315:1
12,2497,0x0010,IN,/Unknown:Byte,num,1,137,137,137.000,137:1
12,2497,0x0010,IN,/Unknown:Int32,num,1,285220484,285220484,285220484.000,285220484:1
12,2497,0x0010,IN,/message:Byte,num,1,0,0,0.000,0:1
12,2497,0x0011,IN,/ServerTick:Int32,num,11,118227271,118248800,118237919.091,118227271:1|118228044:1|118231931:1|118233518:1|118235001:1|118236502:1|118241126:1|118241898:1|118245734:1|118247285:1|118248800:1
12,2497,0x0011,IN,/TimeOffset:Int32,num,11,-32400,-32400,-32400.000,-32400:11
12,2497,0x0011,IN,/Timestamp:Int64,num,13,1618561038,1618561059,1618561047.692,1618561038:2|1618561051:2|1618561039:1|1618561043:1|1618561044:1|1618561046:1|1618561047:1|1618561052:1|1618561055:1|1618561057:1|1618561059:1
12,2497,0x0011,IN,/Timezone:Byte,num,11,0,0,0.000,0:11
12,2497,0x0011,IN,/function:Byte,num,21,0,3,1.143,0:9|2:8|1:2|3:2
12,2497,0x0011,IN,/key:Int32,num,9,239,248,243.444,239:1|240:1|241:1|242:1|243:1|245:1|246:1|247:1|248:1
12,2497,0x0012,OUT,/ClientTicks:Int32,num,13,463268,479097,470362.385,463268:1|463859:1|464176:1|465277:1|466246:1|467227:1|468228:1|469244:1|476149:1|476730:1|477046:1|478164:1|479097:1
12,2497,0x0012,OUT,/Function:Byte,num,13,0,0,0.000,0:13
12,2497,0x0012,OUT,/ServerTick:Int32,num,13,118230985,118248403,118238979.385,118230985:1|118232179:1|118232496:1|118233636:1|118234605:1|118235620:1|118236622:1|118237638:1|118244806:1|118245978:1|118246294:1|118247470:1|118248403:1
12,2497,0x0012,OUT,/segments:Byte,num,13,1,1,1.000,1:13
12,2497,0x0012,OUT,Segment #/StateSync/Animation#:Byte,num,13,90,90,90.000,90:13
12,2497,0x0012,OUT,Segment #/StateSync/CoordS / #:Int16,num,13,0,1,0.692,1:9|0:4
12,2497,0x0012,OUT,Segment #/StateSync/Flag:Byte,num,13,34,34,34.000,34:13
12,2497,0x0012,OUT,Segment #/StateSync/PositionCoordS/X:Int16,num,13,4619,4619,4619.000,4619:13
12,2497,0x0012,OUT,Segment #/StateSync/PositionCoordS/Y:Int16,num,13,-24579,-24579,-24579.000,-24579:13
12,2497,0x0012,OUT,Segment #/StateSync/PositionCoordS/Z:Int16,num,13,7,7,7.000,7:13
12,2497,0x0012,OUT,Segment #/StateSync/Rotation# CoordS / #:Int16,num,13,-31744,15616,1122.462,11264:5|-17152:1|-18688:1|-31488:1|-31744:1|13056:1|13568:1|15104:1|15616:1
12,2497,0x0012,OUT,Segment #/StateSync/Rotation:Int16,num,13,2304,2304,2304.000,2304:13
12,2497,0x0012,OUT,Segment #/StateSync/SpeedCoordS/X:Int16,num,13,11520,11520,11520.000,11520:13
12,2497,0x0012,OUT,Segment #/StateSync/SpeedCoordS/Y:Int16,num,13,-10240,-10240,-10240.000,-10240:13
12,2497,0x0012,OUT,Segment #/StateSync/SpeedCoordS/Z:Int16,num,13,767,767,767.000,767:13
12,2497,0x0012,OUT,Segment #/StateSync/Unknown:Byte,num,13,0,0,0.000,0:13
12,2497,0x0012,OUT,Segment #/StateSync/UnknownCoordF/X:Single,num,13,NaN,NaN,NaN,1;192094E-39:11|NaN:2
12,2497,0x0012,OUT,Segment #/StateSync/UnknownCoordF/Y:Single,num,13,1.0536906363805398E-34,1.0556718724157783E-34,0.000,1;0536906E-34:1|1;0538299E-34:1|1;0538562E-34:1|1;0539722E-34:1|1;0540877E-34:1|1;0542028E-34:1|1;0543202E-34:1|1;0544361E-34:1|1;0552772E-34:1|1;0554146E-34:1|1;0554406E-34:1|1;0555564E-34:1|1;0556719E-34:1
12,2497,0x0012,OUT,Segment #/StateSync/state:Byte,num,13,1,4,1.923,1:9|4:4
12,2497,0x0012,OUT,Segment #/StateSync/subState:Byte,num,13,1,134,41.923,1:9|134:4
12,2497,0x0013,IN,/ServerTicks:Int32,num,2,118227274,118241130,118234202.000,118227274:1|118241130:1
