source_build,target_build,opcode,direction,seen,executed,ran,no_script,ok_exact,under_read,over_read,threw,compile_error,negative_length,consumed_p50,consumed_p90,script_sha,env_sha,consumed_hist,sampling,over_sigs
12,2506,0x0001,IN,23,23,23,0,23,0,0,0,0,0,100,100,7f8c78029510,d7b7fc65329f,100:23,reservoir;n=1500;seed=1,-
12,2506,0x0001,OUT,23,23,23,0,23,0,0,0,0,0,100,100,c024851cf5a7,d7b7fc65329f,100:23,reservoir;n=1500;seed=1,-
12,2506,0x0004,IN,23,23,23,0,23,0,0,0,0,0,100,100,8ceb5dea67ee,d7b7fc65329f,100:23,reservoir;n=1500;seed=1,-
12,2506,0x0004,OUT,23,23,23,0,23,0,0,0,0,0,100,100,6f95cf27934c,d7b7fc65329f,100:23,reservoir;n=1500;seed=1,-
12,2506,0x0005,IN,40,40,40,0,40,0,0,0,0,0,100,100,904ae535cf82,d7b7fc65329f,100:40,reservoir;n=1500;seed=1,-
12,2506,0x0006,IN,430,430,430,0,430,0,0,0,0,0,100,100,1259343bcd4e,d7b7fc65329f,100:430,reservoir;n=1500;seed=1,-
2486,2506,0x0006,IN,430,430,430,0,430,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:430,reservoir;n=1500;seed=1,-
2486,2506,0x0006,OUT,428,428,428,0,428,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:428,reservoir;n=1500;seed=1,-
12,2506,0x000B,OUT,2334,1500,1500,0,1500,0,0,0,0,0,100,100,0bfa8a381791,d7b7fc65329f,100:1500,reservoir;n=1500;seed=1,-
12,2506,0x000C,OUT,24,24,24,0,24,0,0,0,0,0,100,100,03af1cb1cb9c,d7b7fc65329f,100:24,reservoir;n=1500;seed=1,-
12,2506,0x000D,IN,23,23,23,0,23,0,0,0,0,0,100,100,b3dc9594248c,d7b7fc65329f,100:23,reservoir;n=1500;seed=1,-
-,2506,0x000E,OUT,23,23,0,23,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
-,2506,0x000F,OUT,23,23,0,23,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2506,0x0010,IN,5,5,5,0,5,0,0,0,0,0,100,100,aa9463bb9345,d7b7fc65329f,100:5,reservoir;n=1500;seed=1,-
-,2506,0x0010,OUT,23,23,0,23,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2506,0x0011,IN,4690,1500,1500,0,770,730,0,0,0,0,100,100,ea7aa50be9ac,d7b7fc65329f,6:730|100:770,reservoir;n=1500;seed=1,-
-,2506,0x0011,OUT,35,35,0,35,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2506,0x0012,OUT,27536,1500,1500,0,0,3,1497,0,0,228,95,100,00eac5549f4f,d7b7fc65329f,29:2|33:21|34:2|38:5|43:1|45:15|50:1|54:1|62:2|65:5|71:2|85:102|95:780|98:7|100:554,reservoir;n=1500;seed=1,PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [Z:Single]:385|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [X:Single]:332|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Int32]:233|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [UnknownStr:Field]:150|NegativeLength: ReadBytes: negative length -# at offset #/# @  [UnknownStr:Field]:118|NegativeLength: ReadBytes: negative length -# at offset #/# @  [AnimationString?:Field]:110|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [AnimationString?:Field]:108|PastEnd: Read<Byte>: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Byte]:38|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ServerTick:Int32]:23
12,2506,0x0013,IN,24,24,24,0,24,0,0,0,0,0,100,100,ec8c9b43cd49,d7b7fc65329f,100:24,reservoir;n=1500;seed=1,-
12,2506,0x0014,IN,28,28,28,0,28,0,0,0,0,0,100,100,707e661c62cd,d7b7fc65329f,100:28,reservoir;n=1500;seed=1,-
12,2506,0x0015,IN,23,23,23,0,0,0,23,0,0,0,100,100,3bbd77e4fb7a,d7b7fc65329f,68:1|99:5|100:17,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [MapId:Int32]:22|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [String:Field]:1
2507,2506,0x0015,IN,23,23,23,0,23,0,0,0,0,0,100,100,afce9e0e791b,e531069fb1f2,100:23,reservoir;n=1500;seed=1,-
12,2506,0x0016,IN,23,23,23,0,23,0,0,0,0,0,100,100,bd0753bb66c6,d7b7fc65329f,100:23,reservoir;n=1500;seed=1,-
2546,2506,0x0016,IN,23,23,23,0,23,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:23,reservoir;n=1500;seed=1,-
2549,2506,0x0016,IN,23,23,23,0,23,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:23,reservoir;n=1500;seed=1,-
2550,2506,0x0016,IN,23,23,23,0,23,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:23,reservoir;n=1500;seed=1,-
12,2506,0x0017,IN,80,80,80,0,0,0,80,0,0,11,100,100,1d52865cb228,d7b7fc65329f,21:1|23:1|25:7|26:1|27:1|31:1|44:7|47:1|50:1|69:1|75:1|89:3|98:1|100:53,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Player+#B#:Int64]:51|NegativeLength: ReadBytes: negative length -# at offset #/# @  [UUID:Field]:8|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Profile Url:Field]:7|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [UUID:Field]:7|NegativeLength: ReadBytes: negative length -# at offset #/# @  [Buffer:Field]:2|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Int64]:2|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Buffer:Field]:2|NegativeLength: ReadBytes: negative length -# at offset #/# @  [CharacterName:Field]:1
2500,2506,0x0017,IN,80,80,80,0,0,80,0,0,0,0,0,0,5f2e5359199a,e531069fb1f2,0:80,reservoir;n=1500;seed=1,-
2503,2506,0x0017,IN,80,80,80,0,0,78,2,0,0,0,19,63,e6752d96b9a6,e531069fb1f2,7:1|8:19|9:8|11:2|12:1|15:3|17:1|19:5|20:10|25:5|29:1|35:1|45:4|56:1|57:2|60:3|62:3|63:3|66:4|71:1|100:2,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [:Int64]:2
2528,2506,0x0017,IN,80,80,80,0,0,0,80,0,0,11,100,100,a3115547491e,c7184ede6835,21:1|23:1|25:7|26:1|27:1|31:1|44:7|47:1|50:1|69:1|75:1|89:3|98:1|100:53,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Player+#B#:Int64]:51|NegativeLength: ReadBytes: negative length -# at offset #/# @  [UUID:Field]:8|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Profile Url:Field]:7|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [UUID:Field]:7|NegativeLength: ReadBytes: negative length -# at offset #/# @  [Buffer:Field]:2|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Int64]:2|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Buffer:Field]:2|NegativeLength: ReadBytes: negative length -# at offset #/# @  [CharacterName:Field]:1
