source_build,target_build,opcode,direction,field_key,kind,n,min,max,mean,values
12,2518,0x0001,IN,/Block Initializing Vector (IV):Field,blob,3,4,4,4.000,-
12,2518,0x0001,IN,/Local Initializing Vector (IV):Field,blob,3,4,4,4.000,-
12,2518,0x0001,IN,/MapleStory# Version:Field,blob,3,4,4,4.000,-
12,2518,0x0001,IN,/Opcode:Int16,num,3,1,1,1.000,1:3
12,2518,0x0001,IN,/Packet Length:Field,blob,3,4,4,4.000,-
12,2518,0x0001,IN,/Patch Type:Byte,num,3,2,2,2.000,2:3
12,2518,0x0001,IN,/Raw Sequence:Int16,num,3,-30084,30153,-7343.000,-22098:1|-30084:1|30153:1
12,2518,0x0001,IN,/Remote Initializing Vector (IV):Field,blob,3,4,4,4.000,-
12,2518,0x0001,OUT,/Locale?:Int16,num,3,0,0,0.000,0:3
12,2518,0x0001,OUT,/Unknown:Int16,num,3,74,74,74.000,74:3
12,2518,0x0001,OUT,/Version:Int32,num,3,2518,2518,2518.000,2518:3
12,2518,0x0004,OUT,/AccountId:Int64,num,3,113551,2.6008586829223726E+18,866952894307533312.000,113551:2|2600858682922372473:1
12,2518,0x0004,OUT,/MachineId:Field,blob,3,16,16,16.000,-
12,2518,0x0004,OUT,/TokenA:Int32,num,3,184755720,635362231,446581094.000,184755720:1|519625331:1|635362231:1
12,2518,0x0004,OUT,/TokenB:Int32,num,3,51629424,321285840,174406804.000,150305148:1|321285840:1|51629424:1
12,2518,0x0005,IN,/Key:Int32,num,4,114800,766480,283318.000,125996:2|114800:1|766480:1
12,2518,0x0005,IN,/Unknown:Int32,num,4,1,2,1.250,1:3|2:1
12,2518,0x0005,IN,/function:Byte,num,4,0,0,0.000,0:4
12,2518,0x0005,IN,SomeKey/SomeKey:Field,blob,4,36,36,36.000,-
12,2518,0x0005,IN,SomeKey/size:Int16,num,4,36,36,36.000,36:4
12,2518,0x0006,IN,/unknown:Int32,num,18,7,2434,789.556,1498:1|1588:1|176:1|1875:1|190:1|203:1|2373:1|2416:1|2434:1|28:1|30:1|44:1|522:1|589:1|62:1|7:1|79:1|98:1
2486,2518,0x0006,IN,/ping:Int32,num,18,7,2434,789.556,1498:1|1588:1|176:1|1875:1|190:1|203:1|2373:1|2416:1|2434:1|28:1|30:1|44:1|522:1|589:1|62:1|7:1|79:1|98:1
2486,2518,0x0006,OUT,/ping:Int32,num,18,533,2425,1021.611,1085:1|1112:1|1623:1|1921:1|2175:1|2425:1|533:1|548:1|571:1|592:1|613:1|615:1|637:1|668:1|696:1|760:1|818:1|997:1
12,2518,0x000B,OUT,/Sequence:Int32,num,104,17,1153,364.413,~other:8|19:2|20:2|21:2|22:2|23:2|24:2|25:2|26:2|27:2|28:2|29:2|30:2|31:2|32:2|33:2|34:2|35:2|36:2|37:2|38:2|39:2|40:2|41:2|42:2|43:2|44:2|45:2|46:2|47:2|48:2|49:2|50:2|1123:1|1124:1|1125:1|1126:1|1127:1|1128:1|1129:1|1130:1|1131:1|1132:1|1133:1|1134:1|1135:1|1136:1|1137:1|1138:1|1139:1|1140:1|1141:1|1142:1|1143:1|1144:1|1145:1|17:1|18:1|51:1|52:1|53:1|54:1|55:1|56:1|57:1
12,2518,0x000C,OUT,/ClientTicks:Int32,num,3,68171,2061475,746738.333,110569:1|2061475:1|68171:1
12,2518,0x000C,OUT,/ServerTicks:Int32,num,3,1566423710,1892991367,1779459609.667,1566423710:1|1878963752:1|1892991367:1
12,2518,0x000D,IN,/message:Byte,num,3,0,0,0.000,0:3
12,2518,0x0010,IN,/IpAddress:Int32,num,1,409832730,409832730,409832730.000,409832730:1
12,2518,0x0010,IN,/MapId:Int32,num,1,1966147282,1966147282,1966147282.000,1966147282:1
12,2518,0x0010,IN,/MigrationToken:Int32,num,1,11695959,11695959,11695959.000,11695959:1
12,2518,0x0010,IN,/Port:Int16,num,1,-29315,-29315,-29315.000,-29315:1
12,2518,0x0010,IN,/Unknown:Byte,num,1,228,228,228.000,228:1
12,2518,0x0010,IN,/Unknown:Int32,num,1,234888836,234888836,234888836.000,234888836:1
12,2518,0x0010,IN,/message:Byte,num,1,0,0,0.000,0:1
12,2518,0x0011,IN,/ServerTick:Int32,num,105,1566423705,1893041406,1764468531.886,~other:41|1566423705:1|1566423889:1|1566425642:1|1566426934:1|1566428185:1|1566429448:1|1566430694:1|1566431903:1|1566433368:1|1566434801:1|1566436019:1|1566437227:1|1566438539:1|1566439736:1|1566440949:1|1566442356:1|1566443545:1|1566444754:1|1566445979:1|1566447160:1|1566448587:1|1566449815:1|1566450978:1|1566452192:1|1566453388:1|1566454588:1|1566455989:1|1566457403:1|1566458756:1|1566459929:1|1892991362:1|1892992125:1|1892998363:1|1892999642:1|1893001170:1|1893002619:1|1893004004:1|1893005406:1|1893006789:1|1893008184:1|1893009592:1|1893011140:1|1893012545:1|1893013952:1|1893015340:1|1893016750:1|1893018166:1|1893019566:1|1893021074:1|1893022488:1|1893023862:1|1893025150:1|1893026632:1|1893027993:1|1893029468:1|1893030685:1|1893032104:1|1893033476:1|1893034689:1|1893035878:1|1893037362:1|1893038888:1|1893040136:1|1893041406:1
12,2518,0x0011,IN,/TimeOffset:Int32,num,105,-32400,-32400,-32400.000,-32400:105
12,2518,0x0011,IN,/Timestamp:Int64,num,108,1640573259,1640899922,1640771742.380,~other:41|1640573259:3|1640899872:2|1640573261:1|1640573262:1|1640573264:1|1640573265:1|1640573266:1|1640573267:1|1640573269:1|1640573270:1|1640573272:1|1640573273:1|1640573274:1|1640573275:1|1640573276:1|1640573278:1|1640573279:1|1640573280:1|1640573282:1|1640573283:1|1640573284:1|1640573285:1|1640573287:1|1640573288:1|1640573289:1|1640573290:1|1640573292:1|1640573293:1|1640573294:1|1640573295:1|1640573297:1|1640899873:1|1640899879:1|1640899880:1|1640899882:1|1640899883:1|1640899885:1|1640899886:1|1640899887:1|1640899889:1|1640899890:1|1640899892:1|1640899893:1|1640899894:1|1640899896:1|1640899897:1|1640899899:1|1640899900:1|1640899902:1|1640899903:1|1640899904:1|1640899906:1|1640899907:1|1640899909:1|1640899910:1|1640899911:1|1640899913:1|1640899914:1|1640899915:1|1640899916:1|1640899918:1|1640899919:1|1640899921:1|1640899922:1
12,2518,0x0011,IN,/Timezone:Byte,num,105,0,0,0.000,0:105
12,2518,0x0011,IN,/function:Byte,num,210,0,3,1.029,0:102|2:102|1:3|3:3
12,2518,0x0011,IN,/key:Int32,num,102,17,1152,359.765,~other:7|19:2|20:2|21:2|22:2|23:2|24:2|25:2|26:2|27:2|28:2|29:2|30:2|31:2|32:2|33:2|34:2|35:2|36:2|37:2|38:2|39:2|40:2|41:2|42:2|43:2|44:2|45:2|46:2|47:2|48:2|49:2|1123:1|1124:1|1125:1|1126:1|1127:1|1128:1|1129:1|1130:1|1131:1|1132:1|1133:1|1134:1|1135:1|1136:1|1137:1|1138:1|1139:1|1140:1|1141:1|1142:1|1143:1|1144:1|1145:1|17:1|18:1|50:1|51:1|52:1|53:1|54:1|55:1|56:1|57:1
12,2518,0x0012,OUT,/ClientTicks:Int32,num,1500,75285,2112348,985742.372,~other:1436|2068476:1|2068692:1|2068827:1|2069306:1|2087927:1|2088441:1|2089377:1|2091078:1|2092808:1|2093366:1|2094303:1|2095166:1|2095544:1|2095697:1|2095958:1|2096463:1|2096778:1|2097659:1|2098199:1|2098440:1|2098594:1|2099000:1|2100026:1|2100950:1|2101427:1|2111232:1|2112150:1|2112159:1|2112185:1|2112194:1|75285:1|76459:1|76473:1|76488:1|76528:1|76566:1|76588:1|76611:1|76621:1|76628:1|76680:1|76745:1|76760:1|76796:1|76852:1|76895:1|76912:1|76936:1|76952:1|89687:1|89879:1|90378:1|91804:1|92074:1|92559:1|92570:1|93070:1|93404:1|94813:1|95096:1|96113:1|96814:1|96887:1|97029:1
12,2518,0x0012,OUT,/Function:Byte,num,1500,0,0,0.000,0:1500
12,2518,0x0012,OUT,/ServerTick:Int32,num,1500,1566429105,1893040931,1882823219.194,~other:1436|1878970656:1|1878970872:1|1878971007:1|1878971784:1|1878990148:1|1878990836:1|1878991772:1|1878993472:1|1878995196:1|1878995754:1|1878996691:1|1878997602:1|1878997980:1|1878998133:1|1878998392:1|1878998897:1|1878999212:1|1879000093:1|1879000633:1|1879000874:1|1879001028:1|1879001434:1|1879002456:1|1879003384:1|1879003861:1|1879013750:1|1879014612:1|1879014621:1|1879014647:1|1879014656:1|1892998774:1|1893000100:1|1893000114:1|1893000129:1|1893000169:1|1893000207:1|1893000229:1|1893000252:1|1893000262:1|1893000269:1|1893000321:1|1893000386:1|1893000401:1|1893000437:1|1893000493:1|1893000536:1|1893000553:1|1893000577:1|1893000593:1|1893013314:1|1893013506:1|1893014012:1|1893015443:1|1893015713:1|1893016198:1|1893016209:1|1893016709:1|1893017042:1|1893018435:1|1893018718:1|1893019752:1|1893020453:1|1893020526:1|1893020668:1
12,2518,0x0012,OUT,/segments:Byte,num,1500,1,2,1.001,1:1498|2:2
12,2518,0x0012,OUT,Segment #/ClientTicks:Int32,num,56,80010001,2147483647,1796283751.321,2147483647:43|80010001:7|80010010:2|1878970792:1|1879013848:1|1879014522:1|1893004064:1
12,2518,0x0012,OUT,Segment #/ServerTick:Int32,num,52,-65535,1893013582,1562937473.962,-65535:9|1878990340:1|1878993156:1|1878995457:1|1878995969:1|1878996231:1|1878997043:1|1878998834:1|1879000884:1|1879002797:1|1893007196:1|1893010338:1|1893010345:1|1893010353:1|1893010448:1|1893010469:1|1893010477:1|1893010494:1|1893010504:1|1893010514:1|1893010537:1|1893010612:1|1893010638:1|1893010646:1|1893010706:1|1893010716:1|1893010753:1|1893010803:1|1893010811:1|1893010852:1|1893010879:1|1893010888:1|1893010946:1|1893010961:1|1893011036:1|1893011098:1|1893011109:1|1893011140:1|1893011152:1|1893011161:1|1893011168:1|1893011913:1|1893012505:1|1893013582:1
12,2518,0x0012,OUT,Segment #/StateSync/Animation#:Byte,num,1500,2,90,51.104,90:837|2:663
12,2518,0x0012,OUT,Segment #/StateSync/AnimationString?/size:Int16,num,377,-9455,28885,-5585.082,-9455:287|1220:48|28671:8|28884:7|-1:4|2334:3|18:2|2072:2|2075:2|2336:2|28670:2|1557:1|19:1|2073:1|2076:1|2333:1|2338:1|272:1|28885:1|499:1|501:1
12,2518,0x0012,OUT,Segment #/StateSync/CoordS / #:Int16,num,1500,-12280,32145,-1524.731,1792:637|-9455:256|-9446:193|0:169|~other:157|1:29|-10943:1|-11613:1|-11658:1|-11685:1|-11793:1|-11847:1|-5313:1|-5346:1|-5353:1|-5426:1|-5513:1|-5563:1|-5587:1|-5622:1|-5637:1|-5746:1|-5753:1|-5806:1|-5838:1|-5896:1|-5930:1|-5967:1|-5970:1|-6022:1|-6039:1|-6055:1|-6130:1|-6249:1|-6258:1|-6298:1|-6314:1|-6323:1|-6366:1|-6384:1|-6524:1|-6531:1|-6610:1|-6628:1|-6708:1|-6725:1|-6742:1|-6834:1|-6874:1|-6966:1|-6983:1|-7108:1|-7165:1|-7199:1|-7238:1|11916:1|20709:1|20720:1|24769:1|24841:1|30440:1|31228:1|31920:1|31956:1|31983:1
12,2518,0x0012,OUT,Segment #/StateSync/Flag:Byte,num,1500,0,255,122.461,~other:964|40:235|133:9|232:8|237:8|197:7|220:7|223:7|25:7|3:7|127:6|159:6|164:6|168:6|169:6|207:6|209:6|236:6|253:6|45:6|60:6|81:6|94:6|95:6|124:5|142:5|16:5|163:5|174:5|180:5|185:5|186:5|234:5|37:5|52:5|78:5|9:5|114:4|115:4|137:4|170:4|177:4|189:4|190:4|211:4|226:4|43:4|58:4|66:4|74:4|116:3|156:3|167:3|172:3|179:3|194:3|206:3|21:3|46:3|64:3|73:3|221:2|246:2|49:2|233:1
