source_build,target_build,opcode,direction,seen,executed,ran,no_script,ok_exact,under_read,over_read,threw,compile_error,negative_length,consumed_p50,consumed_p90,script_sha,env_sha,consumed_hist,sampling,over_sigs
12,2486,0x0001,IN,31,31,31,0,15,16,0,0,0,0,66,100,7f8c78029510,d7b7fc65329f,66:16|100:15,reservoir;n=1500;seed=1,-
12,2486,0x0001,OUT,31,31,31,0,31,0,0,0,0,0,100,100,c024851cf5a7,d7b7fc65329f,100:31,reservoir;n=1500;seed=1,-
12,2486,0x0004,IN,31,31,31,0,31,0,0,0,0,0,100,100,8ceb5dea67ee,d7b7fc65329f,100:31,reservoir;n=1500;seed=1,-
12,2486,0x0004,OUT,31,31,31,0,31,0,0,0,0,0,100,100,6f95cf27934c,d7b7fc65329f,100:31,reservoir;n=1500;seed=1,-
12,2486,0x0005,IN,85,85,85,0,85,0,0,0,0,0,100,100,904ae535cf82,d7b7fc65329f,100:85,reservoir;n=1500;seed=1,-
12,2486,0x0006,IN,1131,1131,1131,0,1131,0,0,0,0,0,100,100,1259343bcd4e,d7b7fc65329f,100:1131,reservoir;n=1500;seed=1,-
2486,2486,0x0006,IN,1131,1131,1131,0,1131,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:1131,reservoir;n=1500;seed=1,-
2486,2486,0x0006,OUT,1130,1130,1130,0,1130,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:1130,reservoir;n=1500;seed=1,-
12,2486,0x000B,OUT,4951,1500,1500,0,1500,0,0,0,0,0,100,100,0bfa8a381791,d7b7fc65329f,100:1500,reservoir;n=1500;seed=1,-
12,2486,0x000C,OUT,37,37,37,0,37,0,0,0,0,0,100,100,03af1cb1cb9c,d7b7fc65329f,100:37,reservoir;n=1500;seed=1,-
12,2486,0x000D,IN,31,31,31,0,31,0,0,0,0,0,100,100,b3dc9594248c,d7b7fc65329f,100:31,reservoir;n=1500;seed=1,-
-,2486,0x000E,OUT,31,31,0,31,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
-,2486,0x000F,OUT,41,41,0,41,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2486,0x0010,IN,7,7,7,0,7,0,0,0,0,0,100,100,aa9463bb9345,d7b7fc65329f,100:7,reservoir;n=1500;seed=1,-
-,2486,0x0010,OUT,41,41,0,41,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2486,0x0011,IN,9928,1500,1500,0,757,743,0,0,0,0,100,100,ea7aa50be9ac,d7b7fc65329f,6:743|100:757,reservoir;n=1500;seed=1,-
-,2486,0x0011,OUT,2,2,0,2,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2486,0x0012,OUT,75842,1500,1500,0,0,0,1500,0,0,0,100,100,00eac5549f4f,d7b7fc65329f,100:1500,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ServerTick:Int32]:1495|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [CoordS / #:Int16]:3|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ClientTicks:Int32]:1|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [Y:Single]:1
12,2486,0x0013,IN,37,37,37,0,37,0,0,0,0,0,100,100,ec8c9b43cd49,d7b7fc65329f,100:37,reservoir;n=1500;seed=1,-
12,2486,0x0014,IN,38,38,38,0,38,0,0,0,0,0,100,100,707e661c62cd,d7b7fc65329f,100:38,reservoir;n=1500;seed=1,-
12,2486,0x0015,IN,31,31,31,0,0,0,31,0,0,0,100,100,3bbd77e4fb7a,d7b7fc65329f,99:3|100:28,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [MapId:Int32]:31
2507,2486,0x0015,IN,31,31,31,0,31,0,0,0,0,0,100,100,afce9e0e791b,e531069fb1f2,100:31,reservoir;n=1500;seed=1,-
12,2486,0x0016,IN,41,41,41,0,41,0,0,0,0,0,100,100,bd0753bb66c6,d7b7fc65329f,100:41,reservoir;n=1500;seed=1,-
2546,2486,0x0016,IN,41,41,41,0,41,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:41,reservoir;n=1500;seed=1,-
2549,2486,0x0016,IN,41,41,41,0,41,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:41,reservoir;n=1500;seed=1,-
