source_build,target_build,opcode,direction,seen,executed,ran,no_script,ok_exact,under_read,over_read,threw,compile_error,negative_length,consumed_p50,consumed_p90,script_sha,env_sha,consumed_hist,sampling,over_sigs
12,2518,0x0001,IN,3,3,3,0,3,0,0,0,0,0,100,100,7f8c78029510,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,-
12,2518,0x0001,OUT,3,3,3,0,3,0,0,0,0,0,100,100,c024851cf5a7,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,-
12,2518,0x0004,IN,3,3,3,0,3,0,0,0,0,0,100,100,8ceb5dea67ee,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,-
12,2518,0x0004,OUT,3,3,3,0,3,0,0,0,0,0,100,100,6f95cf27934c,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,-
12,2518,0x0005,IN,4,4,4,0,4,0,0,0,0,0,100,100,904ae535cf82,d7b7fc65329f,100:4,reservoir;n=1500;seed=1,-
12,2518,0x0006,IN,18,18,18,0,18,0,0,0,0,0,100,100,1259343bcd4e,d7b7fc65329f,100:18,reservoir;n=1500;seed=1,-
2486,2518,0x0006,IN,18,18,18,0,18,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:18,reservoir;n=1500;seed=1,-
2486,2518,0x0006,OUT,18,18,18,0,18,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:18,reservoir;n=1500;seed=1,-
12,2518,0x000B,OUT,104,104,104,0,104,0,0,0,0,0,100,100,0bfa8a381791,d7b7fc65329f,100:104,reservoir;n=1500;seed=1,-
12,2518,0x000C,OUT,3,3,3,0,3,0,0,0,0,0,100,100,03af1cb1cb9c,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,-
12,2518,0x000D,IN,3,3,3,0,3,0,0,0,0,0,100,100,b3dc9594248c,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,-
-,2518,0x000E,OUT,3,3,0,3,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
-,2518,0x000F,OUT,3,3,0,3,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2518,0x0010,IN,1,1,1,0,1,0,0,0,0,0,100,100,aa9463bb9345,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,-
-,2518,0x0010,OUT,3,3,0,3,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2518,0x0011,IN,210,210,210,0,108,102,0,0,0,0,100,100,ea7aa50be9ac,d7b7fc65329f,6:102|100:108,reservoir;n=1500;seed=1,-
-,2518,0x0011,OUT,2,2,0,2,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2518,0x0012,OUT,4481,1500,1500,0,43,9,1448,0,0,574,92,100,00eac5549f4f,d7b7fc65329f,69:287|74:1|76:116|80:48|85:22|88:131|92:215|94:39|95:261|98:12|100:368,reservoir;n=1500;seed=1,NegativeLength: ReadBytes: negative length -# at offset #/# @  [AnimationString?:Field]:291|NegativeLength: ReadBytes: negative length -# at offset #/# @  [UnknownStr:Field]:283|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [UnknownStr:Field]:236|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [size:Int16]:197|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [X:Single]:149|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [Z:Single]:115|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [AnimationString?:Field]:86|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Int32]:85|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ServerTick:Int32]:4|PastEnd: Read<Byte>: wanted # byte(s) at offset #; only # of # remain @  [Unknown:Byte]:2
12,2518,0x0013,IN,3,3,3,0,3,0,0,0,0,0,100,100,ec8c9b43cd49,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,-
12,2518,0x0014,IN,3,3,3,0,3,0,0,0,0,0,100,100,707e661c62cd,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,-
12,2518,0x0015,IN,3,3,3,0,0,0,3,0,0,0,100,100,3bbd77e4fb7a,d7b7fc65329f,100:3,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [MapId:Int32]:3
2507,2518,0x0015,IN,3,3,3,0,3,0,0,0,0,0,100,100,afce9e0e791b,e531069fb1f2,100:3,reservoir;n=1500;seed=1,-
