source_build,target_build,opcode,direction,seen,executed,ran,no_script,ok_exact,under_read,over_read,threw,compile_error,negative_length,consumed_p50,consumed_p90,script_sha,env_sha,consumed_hist,sampling,over_sigs
12,2489,0x0001,IN,8,8,8,0,5,3,0,0,0,0,100,100,7f8c78029510,d7b7fc65329f,66:3|100:5,reservoir;n=1500;seed=1,-
12,2489,0x0001,OUT,8,8,8,0,8,0,0,0,0,0,100,100,c024851cf5a7,d7b7fc65329f,100:8,reservoir;n=1500;seed=1,-
12,2489,0x0004,IN,8,8,8,0,8,0,0,0,0,0,100,100,8ceb5dea67ee,d7b7fc65329f,100:8,reservoir;n=1500;seed=1,-
12,2489,0x0004,OUT,8,8,8,0,8,0,0,0,0,0,100,100,6f95cf27934c,d7b7fc65329f,100:8,reservoir;n=1500;seed=1,-
12,2489,0x0005,IN,18,18,18,0,18,0,0,0,0,0,100,100,904ae535cf82,d7b7fc65329f,100:18,reservoir;n=1500;seed=1,-
12,2489,0x0006,IN,84,84,84,0,84,0,0,0,0,0,100,100,1259343bcd4e,d7b7fc65329f,100:84,reservoir;n=1500;seed=1,-
2486,2489,0x0006,IN,84,84,84,0,84,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:84,reservoir;n=1500;seed=1,-
2486,2489,0x0006,OUT,84,84,84,0,84,0,0,0,0,0,100,100,2f67488080ad,e531069fb1f2,100:84,reservoir;n=1500;seed=1,-
12,2489,0x000B,OUT,447,447,447,0,447,0,0,0,0,0,100,100,0bfa8a381791,d7b7fc65329f,100:447,reservoir;n=1500;seed=1,-
12,2489,0x000C,OUT,9,9,9,0,9,0,0,0,0,0,100,100,03af1cb1cb9c,d7b7fc65329f,100:9,reservoir;n=1500;seed=1,-
12,2489,0x000D,IN,8,8,8,0,8,0,0,0,0,0,100,100,b3dc9594248c,d7b7fc65329f,100:8,reservoir;n=1500;seed=1,-
-,2489,0x000D,OUT,7,7,0,7,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
-,2489,0x000E,OUT,8,8,0,8,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2489,0x000F,IN,7,7,7,0,7,0,0,0,0,0,100,100,2c8cf09360b3,d7b7fc65329f,100:7,reservoir;n=1500;seed=1,-
-,2489,0x000F,OUT,8,8,0,8,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
-,2489,0x0010,OUT,8,8,0,8,0,0,0,0,0,0,0,0,-,-,-,reservoir;n=1500;seed=1,-
12,2489,0x0011,IN,903,903,903,0,463,440,0,0,0,0,100,100,ea7aa50be9ac,d7b7fc65329f,6:440|100:463,reservoir;n=1500;seed=1,-
12,2489,0x0012,OUT,6614,1500,1500,0,0,0,1500,0,0,0,100,100,00eac5549f4f,d7b7fc65329f,100:1500,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [ServerTick:Int32]:1497|PastEnd: Read<Single>: wanted # byte(s) at offset #; only # of # remain @  [Y:Single]:2|PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [CoordS / #:Int16]:1
12,2489,0x0013,IN,9,9,9,0,9,0,0,0,0,0,100,100,ec8c9b43cd49,d7b7fc65329f,100:9,reservoir;n=1500;seed=1,-
12,2489,0x0014,IN,12,12,12,0,12,0,0,0,0,0,100,100,707e661c62cd,d7b7fc65329f,100:12,reservoir;n=1500;seed=1,-
12,2489,0x0015,IN,8,8,8,0,0,0,8,0,0,0,100,100,3bbd77e4fb7a,d7b7fc65329f,100:8,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [MapId:Int32]:8
2507,2489,0x0015,IN,8,8,8,0,8,0,0,0,0,0,100,100,afce9e0e791b,e531069fb1f2,100:8,reservoir;n=1500;seed=1,-
12,2489,0x0016,IN,8,8,8,0,8,0,0,0,0,0,100,100,bd0753bb66c6,d7b7fc65329f,100:8,reservoir;n=1500;seed=1,-
2546,2489,0x0016,IN,8,8,8,0,8,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:8,reservoir;n=1500;seed=1,-
2549,2489,0x0016,IN,8,8,8,0,8,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:8,reservoir;n=1500;seed=1,-
2550,2489,0x0016,IN,8,8,8,0,8,0,0,0,0,0,100,100,bd0753bb66c6,750b3e3c91cc,100:8,reservoir;n=1500;seed=1,-
12,2489,0x0017,IN,10,10,10,0,0,0,10,0,0,0,100,100,1d52865cb228,d7b7fc65329f,44:2|65:1|100:7,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Player+#B#:Int64]:7|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [UUID:Field]:2|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Profile Url:Field]:1
2500,2489,0x0017,IN,10,10,10,0,0,10,0,0,0,0,0,0,5f2e5359199a,e531069fb1f2,0:10,reservoir;n=1500;seed=1,-
2503,2489,0x0017,IN,10,10,10,0,0,10,0,0,0,0,41,48,e6752d96b9a6,e531069fb1f2,8:2|11:1|41:4|48:3,reservoir;n=1500;seed=1,-
2528,2489,0x0017,IN,10,10,10,0,0,0,10,0,0,0,100,100,a3115547491e,c7184ede6835,44:2|65:1|100:7,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Player+#B#:Int64]:7|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [UUID:Field]:2|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Profile Url:Field]:1
2550,2489,0x0017,IN,10,10,10,0,0,0,10,0,0,0,100,100,a3115547491e,750b3e3c91cc,44:2|65:1|100:7,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [Player+#B#:Int64]:7|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [UUID:Field]:2|PastEnd: ReadBytes: wanted # byte(s) at offset #; only # of # remain @  [Profile Url:Field]:1
12,2489,0x0019,IN,16,16,16,0,16,0,0,0,0,0,100,100,81ad6936565e,d7b7fc65329f,100:16,reservoir;n=1500;seed=1,-
2500,2489,0x0019,IN,16,16,16,0,16,0,0,0,0,0,100,100,2eb6d169688e,e531069fb1f2,100:16,reservoir;n=1500;seed=1,-
12,2489,0x001A,IN,16,16,16,0,8,0,8,0,0,0,100,100,30430a5d3899,d7b7fc65329f,100:16,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [arg:Int32]:8
12,2489,0x001C,IN,10,10,10,0,10,0,0,0,0,0,100,100,0357b5c4fd5f,d7b7fc65329f,100:10,reservoir;n=1500;seed=1,-
2507,2489,0x001C,IN,10,10,10,0,0,10,0,0,0,0,64,64,c7b0101dd29c,e531069fb1f2,64:10,reservoir;n=1500;seed=1,-
12,2489,0x001D,IN,2,2,2,0,2,0,0,0,0,0,100,100,73b8429f6c4a,d7b7fc65329f,100:2,reservoir;n=1500;seed=1,-
12,2489,0x001E,IN,1,1,1,0,0,0,1,0,0,0,100,100,3bbddaf0bb87,d7b7fc65329f,100:1,reservoir;n=1500;seed=1,PastEnd: Read<Int#>: wanted # byte(s) at offset #; only # of # remain @  [IntegerValue:Int32]:1
12,2489,0x001F,IN,8,8,8,0,8,0,0,0,0,0,100,100,e9ab09106d52,d7b7fc65329f,100:8,reservoir;n=1500;seed=1,-
12,2489,0x0020,OUT,474,474,474,0,474,0,0,0,0,0,100,100,6d8b0777422d,d7b7fc65329f,100:474,reservoir;n=1500;seed=1,-
2507,2489,0x0020,OUT,474,474,474,0,235,239,0,0,0,0,99,100,9259122a6ee0,e531069fb1f2,1:54|3:2|11:7|99:176|100:235,reservoir;n=1500;seed=1,-
2512,2489,0x0020,OUT,474,474,474,0,474,0,0,0,0,0,100,100,6d8b0777422d,6cdba8ccbaff,100:474,reservoir;n=1500;seed=1,-
12,2489,0x0021,IN,317,317,317,0,0,317,0,0,0,0,17,20,4a34cc581cd5,d7b7fc65329f,0:77|17:120|20:120,reservoir;n=1500;seed=1,-
2511,2489,0x0021,IN,317,317,317,0,0,317,0,0,0,0,17,20,1b1236b38a15,e531069fb1f2,0:77|17:120|20:120,reservoir;n=1500;seed=1,-
