source_build,target_build,opcode,direction,field_key,check,edge_value,home_value,severity
2528,2529,0x002E,IN,Stat #/StatTotal:Int32,dist_diverge,tvd=0.695,home_other=0.00,high
2512,2529,0x003C,IN,/ObjectId:Int32,dist_diverge,tvd=0.971,home_other=0.24,high
2512,2529,0x003C,IN,/SkillId:Int32,dist_diverge,tvd=0.982,home_other=0.15,high
2512,2529,0x003C,IN,/SkillLevel:Int16,dist_diverge,tvd=0.532,home_other=0.00,medium
2512,2529,0x003C,IN,DirectionCoordF/X:Single,dist_diverge,tvd=0.521,home_other=0.30,medium
2512,2529,0x003C,IN,DirectionCoordF/Y:Single,dist_diverge,tvd=0.532,home_other=0.32,medium
2512,2529,0x003C,IN,PositionCoordS/Z:Int16,dist_diverge,tvd=0.966,home_other=0.15,high
2521,2529,0x0058,IN,Coord/z:Int16,dist_diverge,tvd=0.512,home_other=0.32,medium
2527,2529,0x0058,IN,NpcControl #/ObjectId:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2529,0x0058,IN,NpcControl #/PositionCoordS/X:Int16,dist_diverge,tvd=0.740,home_other=0.20,high
2527,2529,0x0058,IN,NpcControl #/PositionCoordS/Y:Int16,dist_diverge,tvd=0.725,home_other=0.18,high
2527,2529,0x0058,IN,NpcControl #/PositionCoordS/Z:Int16,dist_diverge,tvd=0.999,home_other=0.00,high
2527,2529,0x0058,IN,NpcControl #/Rotation / #:Int16,dist_diverge,tvd=0.696,home_other=0.00,high
2527,2529,0x0058,IN,NpcControl #/SequenceId:Int16,dist_diverge,tvd=0.525,home_other=0.00,medium
2527,2529,0x0058,IN,NpcControl #/Short / #:Int16,count_neg,-32000,"[100,100]",high
12,2530,0x0024,IN,/ItemId:Int32,dist_diverge,tvd=1.000,home_other=0.12,high
2502,2530,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.735,home_other=0.09,high
2507,2530,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.674,home_other=0.09,high
12,2531,0x0024,IN,/ItemId:Int32,dist_diverge,tvd=0.773,home_other=0.12,high
2507,2531,0x0024,IN,/item id:Int32,dist_diverge,tvd=0.738,home_other=0.09,high
2527,2531,0x0058,IN,NpcControl #/Counter (per action):Int16,dist_diverge,tvd=0.864,home_other=0.73,high
2527,2531,0x0058,IN,NpcControl #/ObjectId:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2531,0x0058,IN,NpcControl #/PositionCoordS/X:Int16,dist_diverge,tvd=0.949,home_other=0.20,high
2527,2531,0x0058,IN,NpcControl #/PositionCoordS/Y:Int16,dist_diverge,tvd=0.871,home_other=0.18,high
2527,2531,0x0058,IN,NpcControl #/PositionCoordS/Z:Int16,dist_diverge,tvd=1.000,home_other=0.00,high
2527,2531,0x0058,IN,NpcControl #/Rotation / #:Int16,dist_diverge,tvd=0.578,home_other=0.00,medium
2527,2531,0x0058,IN,NpcControl #/SequenceId:Int16,dist_diverge,tvd=0.655,home_other=0.00,high
12,2532,0x0011,IN,/TimeOffset:Int32,dist_diverge,tvd=1.000,home_other=0.00,high
12,2532,0x0024,IN,/ItemId:Int32,dist_diverge,tvd=0.756,home_other=0.12,high
